ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,Category,SecurityGroup,SecurityType,BookValue,MarketValue,GainOrLoss,PreTaxBookYield,PreTaxMarketYield,AfterTaxBookYield,AfterTaxMarketYield,TaxEquivalentBookYield,TaxEquivalentMarketYield,Coupon,EffectiveDuration,SecuritiesAtGainNumber,SecuritiesAtGainAmount,SecuritiesAtLossNumber,SecuritiesAtLossAmount,Weight,BenchmarkWeight,BenchmarkCoupon,YTW,BenchmarkYTW,ModifiedDuration,BenchmarkModifiedDuration,Convexity,BenchmarkConvexity,DailyReturn,BenchmarkDailyReturn,MTD,BenchmarkMTD,QTD,BenchmarkQTD,YTD,BenchmarkYTD,CummReturn,BenchmarkCummReturn,BenchmarkBookYield,BenchmarkMarketYield,BenchmarkEffectiveDuration,Liability
"USTR10001","2021-12-31","N","USTR",1,,,"Cash",,701845.12,,,,,,,,0.000,,,,,,1.88,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,1.26,0.00,1.26,0.00,,,,
"USTR10001","2021-12-31","N","USTR",2,,,"Treasury",,6976443.99,,,,,,,,0.717,,,,,,18.52,11.79,0.000,1.95,2.03,20.36,24.72,4.69,6.33,0.73,0.83,-1.69,-2.45,3.47,4.58,-7.20,-6.67,-7.20,-6.67,,,,
"USTR10001","2021-12-31","N","USTR",3,,,"Agency",,466850.72,,,,,,,,3.309,,,,,,1.24,0.00,0.000,2.46,0.00,10.48,0.00,1.80,0.00,0.31,0.00,-0.30,0.00,0.28,0.00,1.09,0.00,1.09,0.00,,,,
"USTR10001","2021-12-31","N","USTR",4,,,"Local Authority",,135688.90,,,,,,,,7.300,,,,,,0.36,0.00,0.000,3.06,0.00,11.51,0.00,1.75,0.00,0.08,0.00,-0.79,0.00,0.95,0.00,0.04,0.00,0.04,0.00,,,,
"USTR10001","2021-12-31","N","USTR",5,,,"Sovereign",,0.00,,,,,,,,0.000,,,,,,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"USTR10001","2021-12-31","N","USTR",6,,,"Supranational",,0.00,,,,,,,,0.000,,,,,,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
"USTR10001","2021-12-31","N","USTR",7,,,"Industrial",,11844341.74,,,,,,,,3.449,,,,,,31.60,61.12,3.362,2.28,2.00,10.13,8.77,1.77,1.38,0.22,0.20,-0.03,-0.06,0.47,0.38,-2.10,-2.26,-2.10,-2.26,,,,
"USTR10001","2021-12-31","N","USTR",8,,,"Utility",,4997098.76,,,,,,,,3.895,,,,,,13.31,12.46,4.142,2.64,2.60,11.70,10.80,2.16,1.85,0.42,0.33,-1.01,-0.71,0.16,0.28,-2.59,-2.29,-2.59,-2.29,,,,
"USTR10001","2021-12-31","N","USTR",9,,,"Finance",,9592265.01,,,,,,,,3.270,,,,,,25.62,14.63,3.651,2.08,2.06,6.78,8.63,0.83,1.38,0.13,0.19,-0.05,-0.14,-0.19,0.24,-1.22,-1.67,-1.22,-1.67,,,,
"USTR10001","2021-12-31","N","USTR",10,,,"MBS Pass Thru",,0.00,,,,,,,,0.000,,,,,,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.06,0.00,-1.03,0.00,-1.03,0.00,,,,
