ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,DataSource,SortOrder,Sector,TimeValue,BookValue,TaxEquivalentBookYield,PreTaxBookYield,AfterTaxBookYield,PercentTotalBookValue,ParValue,OverweightUnderWeightValue,Rating,Value
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",1,"Treasury","2019-01-31",,,,,,,13,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",2,"Gov","2019-01-31",,,,,,,2,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",3,"Industrial","2019-01-31",,,,,,,-29,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",4,"Utility","2019-01-31",,,,,,,2,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",5,"Finance","2019-01-31",,,,,,,3,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",6,"Securitized","2019-01-31",,,,,,,7,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",7,"CLO / Other","2019-01-31",,,,,,,0,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",8,"Treasury","2019-02-28",,,,,,,12,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",9,"Gov","2019-02-28",,,,,,,2,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",10,"Industrial","2019-02-28",,,,,,,-26,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",11,"Utility","2019-02-28",,,,,,,0,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",12,"Finance","2019-02-28",,,,,,,5,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",13,"Securitized","2019-02-28",,,,,,,7,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",14,"CLO / Other","2019-02-28",,,,,,,0,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",15,"Treasury","2019-03-31",,,,,,,13,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",16,"Gov","2019-03-31",,,,,,,2,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",17,"Industrial","2019-03-31",,,,,,,-28,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",18,"Utility","2019-03-31",,,,,,,0,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",19,"Finance","2019-03-31",,,,,,,5,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",20,"Securitized","2019-03-31",,,,,,,7,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",21,"CLO / Other","2019-03-31",,,,,,,0,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",22,"Treasury","2019-04-30",,,,,,,11,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",23,"Gov","2019-04-30",,,,,,,2,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",24,"Industrial","2019-04-30",,,,,,,-28,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",25,"Utility","2019-04-30",,,,,,,1,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",26,"Finance","2019-04-30",,,,,,,6,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",27,"Securitized","2019-04-30",,,,,,,6,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",28,"CLO / Other","2019-04-30",,,,,,,0,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",29,"Treasury","2019-05-31",,,,,,,11,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",30,"Gov","2019-05-31",,,,,,,2,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",31,"Industrial","2019-05-31",,,,,,,-30,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",32,"Utility","2019-05-31",,,,,,,3,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",33,"Finance","2019-05-31",,,,,,,7,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",34,"Securitized","2019-05-31",,,,,,,6,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",35,"CLO / Other","2019-05-31",,,,,,,0,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",36,"Treasury","2019-06-30",,,,,,,8,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",37,"Gov","2019-06-30",,,,,,,2,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",38,"Industrial","2019-06-30",,,,,,,-30,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",39,"Utility","2019-06-30",,,,,,,3,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",40,"Finance","2019-06-30",,,,,,,9,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",41,"Securitized","2019-06-30",,,,,,,6,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",42,"CLO / Other","2019-06-30",,,,,,,0,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",43,"Treasury","2019-07-31",,,,,,,7,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",44,"Gov","2019-07-31",,,,,,,3,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",45,"Industrial","2019-07-31",,,,,,,-30,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",46,"Utility","2019-07-31",,,,,,,3,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",47,"Finance","2019-07-31",,,,,,,11,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",48,"Securitized","2019-07-31",,,,,,,5,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",49,"CLO / Other","2019-07-31",,,,,,,0,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",50,"Treasury","2019-08-31",,,,,,,6,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",51,"Gov","2019-08-31",,,,,,,3,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",52,"Industrial","2019-08-31",,,,,,,-32,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",53,"Utility","2019-08-31",,,,,,,4,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",54,"Finance","2019-08-31",,,,,,,13,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",55,"Securitized","2019-08-31",,,,,,,5,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",56,"CLO / Other","2019-08-31",,,,,,,0,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",57,"Treasury","2019-09-30",,,,,,,7,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",58,"Gov","2019-09-30",,,,,,,3,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",59,"Industrial","2019-09-30",,,,,,,-32,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",60,"Utility","2019-09-30",,,,,,,3,,
"USTR10001","2021-12-31","N","USTR","OverWeightUnderWeightGraph",61,"Finance","2019-09-30",,,,,,,13,,
