EntityId,EntityName,LineofBusinessCode,AdhocFlag,EntityType,RelationshipManager,ContactPhone,RegionLocale,Language,ShowConsolidatedHoldingsPage,ConsultantId,ConsultantName
"ADCARE","Adventist Healthcare Inc.","USTR","N",,,,,,,"USTR12","UBS"
"ADSHORT","Adventist Healthcare Inc. Short","USTR","N",,,,,,,"USTR12","UBS"
"AGMEN","Universidad Ana G. Mendez Endowment Fund","USTR","N",,,,,,,"USTR12","UBS"
"ALA","American Lung Association Pension Plan","USTR","N",,,,,,,"USTR4","Fiducient"
"ALIHOUR","Allison Trans Hourly-Rate Employees Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"ALISAL","Allison Trans Salaried Employees Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"AMERICAN","American & Efird Employees Pension Plan","USTR","N",,,,,,,"USTR0","Other"
"AOC","American Optical Corporation Retirement Plan","USTR","N",,,,,,,"USTR4","Fiducient"
"BAKERY","Bakery & Confectionery Workers Local 53 Welfare Fund","USTR","N",,,,,,,"USTR28","Madison CG"
"BCH-ES","BayCare Escrow Account","USTR","N",,,,,,,"USTR18","Wilshire (P)"
"BCH-NT","BayCare Health System Insurance, Ltd.","USTR","N",,,,,,,"USTR18","Wilshire (P)"
"BCH-RI","BayCare Health System Reinsurance","USTR","N",,,,,,,"USTR18","Wilshire (P)"
"BCH-TIPS","BayCare Health System Insurance, Ltd. TIPS","USTR","N",,,,,,,"USTR18","Wilshire (P)"
"BIO","bioMerieux","USTR","N",,,,,,,"USTR0","Other"
"BLADE","Toledo Newspaper Unions Blade Pension Plan and Trust","USTR","N",,,,,,,"USTR39","Segal"
"BLUENC","Blue Cross Blue Shield of North Carolina Retirement Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"CARDONE","Cardone Industries, Inc. Union Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"CBIS","CBIS - CUIT Intermediate Diversified Bond Fund","USTR","N",,,,,,,"USTR0","Other"
"CHEPIP","St. Josephs Hospital ERISA","USTR","N",,,,,,,"USTR0","Other"
"CLOPAY","Clopay Ames True Temper Pension Plan","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"COLUMBIA","City of Columbia Police & Fire Pension Fund","USTR","N",,,,,,,"USTR12","UBS"
"CPIPE","Charlotte Pipe and Foundry Pension Plan","USTR","N",,,,,,,"USTR0","Other"
"CWF","California Wildfire Fund","USTR","N",,,,,,,"USTR9","Raymond James"
"CWROLLED","Commonwealth Rolled Products","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"D9PEN","Machinist District 9 Pension Fund","USTR","N",,,,,,,"USTR37","ICS"
"D9WEL","Machinist District 9 Welfare Trust","USTR","N",,,,,,,"USTR37","ICS"
"DECATUR","Decatur, Georgia","USTR","N",,,,,,,"USTR7","BB&T"
"DELTA","Delta Dental of New Jersey Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"DEVRO","Devro, Inc. Pension Plan","USTR","N",,,,,,,"USTR30","Prime Trust"
"DOC-A","Verity Health System Gov/Credit Long Assets","USTR","N",,,,,,,"USTR43","Wilshire (L)"
"DOC-G","Verity Health System Treasury 20+ Yrs Assets","USTR","N",,,,,,,"USTR43","Wilshire (L)"
"DVHIT","Delaware Valley Health Insurance Trust","USTR","N",,,,,,,"USTR46","Concord Advisory"
"DVIT","Delaware Valley Insurance Trust","USTR","N",,,,,,,"USTR46","Concord Advisory"
"DVWCT","Delaware Valley Workers Compensation Trust","USTR","N",,,,,,,"USTR46","Concord Advisory"
"ENGLWOOD","Englewood Hopsital and Medical Center","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"EPPERSON","U.S. Epperson","USTR","N",,,,,,,"USTR0","Other"
"ESCPEN","Northeast Carpenters Pension Plan","USTR","N",,,,,,,"USTR22","Gallagher"
"ESCWEL","Northeast Carpenters Welfare Plan","USTR","N",,,,,,,"USTR42","IPS"
"EXCO","Exco Noonan Pension Plan","USTR","N",,,,,,,"USTR3","Bellwether"
"FOURTHED","Fourth Edition, Inc. Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"GASHER","Georgia Sheriffs Retirement Fund","USTR","N",,,,,,,"USTR12","UBS"
"GEAP","GE Appliances Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"GENESIS","Genesis Heath Care System","USTR","N",,,,,,,"USTR35","Marquette"
"GMASON","George Mason University","USTR","N",,,,,,,"USTR12","UBS"
"GMP","Green Mountain Power Corp.","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"GONNELLA","Gonnella Baking Company Defined Benefit Plan","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"GREER","Greer Industries","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"GROCERS","Grocers Supply Company, Inc. Employees Pension Plan","USTR","N",,,,,,,"USTR9","Raymond James"
"GROTON","City of Groton Retirement Plan","USTR","N",,,,,,,"USTR27","GYL Financial Strategies"
"GTSAL","Greene, Tweed & Co., Inc. Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"GTSERV","GT Services LLC Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"GTUNION","Greene, Tweed & Co., Inc. Union Employees Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"GWINNETT","Gwinnett County Retirement Plan","USTR","N",,,,,,,"USTR12","UBS"
"HENPEN","Henny Penny Corporation Employees Pension Plan","USTR","N",,,,,,,"USTR0","Other"
"HI-TIPS","Hawaii Employee Retirement System TIPS","USTR","N",,,,,,,"USTR0","Other"
"HICKORY","HSM Solutions - Hickory Springs Retirement Plan","USTR","N",,,,,,,"USTR1","The Trust Co/Dimeo"
"HIERS","Hawaii Employees Retirement System","USTR","N",,,,,,,"USTR19","PCA"
"HILL-A","Hillsdale College Non FL CA","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"HILL-CA","Hillsdale College CA Annuity","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"HILL-FL","Hillsdale College Florida Gift Annuity","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"HITMETAL","Hitachi Metals America Employees Retirement Plan","USTR","N",,,,,,,"USTR31","Merrill Lynch"
"HUHT","HUHT - Main Account","USTR","N",,,,,,,"USTR36","Meketa"
"HUHTX","HUHTX - Excess Funds Account","USTR","N",,,,,,,"USTR19","PCA"
"ICONF","Ironworkers - Conventional Fund","USTR","N",,,,,,,"USTR26","RBC (C)"
"IDAHOE","Idaho Operating Engineers & Employers Pension Trust Fund","USTR","N",,,,,,,"USTR41","Verus"
"IDBF","Ironworkers - Death Benefit Fund","USTR","N",,,,,,,"USTR26","RBC (C)"
"IGEN","Ironworkers - General Fund","USTR","N",,,,,,,"USTR26","RBC (C)"
"INOE-A","Local 94 International Union of Operating Engineers Annuity Fund","USTR","N",,,,,,,"USTR0","Other"
"INPO","Institute of Nuclear Power Operations Defined Benefit Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"IOOF","Ironworkers - Outside Organization Fund","USTR","N",,,,,,,"USTR26","RBC (C)"
"IRONDC","Northwest Ironworkers Retirement Trust","USTR","N",,,,,,,"USTR41","Verus"
"IRONHS","Northwest Ironworkers Health & Security Fund","USTR","N",,,,,,,"USTR41","Verus"
"IRONNW","Northwest Ironworkers Annuity Trust Fund","USTR","N",,,,,,,"USTR41","Verus"
"ISONEW","ISO New England Defined Benefit Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"JKNOX","John Knox Village of Tampa Bay","USTR","N",,,,,,,"USTR0","Other"
"KEYHOUR","Keystone Powdered Company Hourly Employees Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"KEYSAL","Keystone Powdered Company Salaried Employees Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"KINKAID","Kinkaid School","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"KNOBU","Knoll Pension Plan for Bargaining Unit Employees","USTR","N",,,,,,,"USTR0","Other"
"KNOLL","Knoll Pension Plan (Non-Union)","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"KUEA","Kansas University Endowment Association","USTR","N",,,,,,,"USTR24","Cambridge"
"LASALLE","LaSalle Bristol Hourly and Salaried Pension Plan","USTR","N",,,,,,,"USTR9","Raymond James"
"LAWPEN","Lawyers Mutual Insurance Company Pension Plan","USTR","N",,,,,,,"USTR0","Other"
"LAWSERP","Lawyers Mutual Insurance Company SERP","USTR","N",,,,,,,"USTR0","Other"
"LEAR","Lear Corporation Employee Benefits Committee","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"LIND","LIUNA National Industrial Pension Fund","USTR","N",,,,,,,"USTR39","Segal"
"LOCAL142","Teamsters Union No. 142 Health & Welfare Trust Fund","USTR","N",,,,,,,"USTR37","ICS"
