ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,Category,Description,Value,BenchmarkValue
"USTR10001","2022-03-31","N","USTR",1,"USTR Account Profile","Inception Date","May 31, 2015",""
"USTR10001","2022-03-31","N","USTR",2,"USTR Account Profile","Mandate","Liability Driven Investing",""
"USTR10001","2022-03-31","N","USTR",3,"USTR Account Profile","Benchmark","ONeal Steel PBO PPA Investable Benchmark",""
"USTR10001","2022-03-31","N","USTR",4,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10001","2022-03-31","N","USTR",5,"USTR Account Profile","Market Value","$34,475,961","$81,507,756"
"USTR10001","2022-03-31","N","USTR",6,"USTR Account Profile","Duration","+/-0.5 years of the benchmark duration","+/-0.5 years of the benchmark duration"
"USTR10001","2022-03-31","N","USTR",7,"USTR Account Profile","Quality","Investment Grade Only","Investment Grade Only"
"USTR10001","2022-03-31","N","USTR",8,"USTR Account Profile","Risk Controls","Max 5% allocation to individual non-Treasury issuers",""
"USTR10001","2022-03-31","N","USTR",9,"USTR Account Profile","Diversification","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark"
"USTR10001","2022-03-31","N","USTR",10,"USTR Account Profile","Yield to Worst (%)",3.33,3.12
"USTR10001","2022-03-31","N","USTR",11,"USTR Account Profile","Number of Issues",203,2011
"USTR10001","2022-03-31","N","USTR",12,"USTR Account Profile","Modified Duration",10.33,10.41
"USTR10001","2022-03-31","N","USTR",13,"USTR Account Profile","Average S&P Quality","A+",""
"USTR10001","2022-03-31","N","USTR",14,"USTR Account Profile","Convexity",1.83,1.91
"USTR10001","2022-03-31","N","USTR",1,"USTR Attribution Summary","Annualized standard Deviation (Volatility) (%)",6.83,6.80
"USTR10001","2022-03-31","N","USTR",2,"USTR Attribution Summary","Minimum Periodic Return (%)",-4.74,-4.93
"USTR10001","2022-03-31","N","USTR",3,"USTR Attribution Summary","Maximum Periodic Return (%)",6.10,5.92
"USTR10001","2022-03-31","N","USTR",4,"USTR Attribution Summary","Beta (Sensitivity to Benchmark)",0.99,""
"USTR10001","2022-03-31","N","USTR",5,"USTR Attribution Summary","R-Squared (%)",97.04,""
"USTR10001","2022-03-31","N","USTR",6,"USTR Attribution Summary","Correlation (%)",98.51,""
"USTR10001","2022-03-31","N","USTR",7,"USTR Attribution Summary","Annualized Tracking Error (bp)",50.65,""
"USTR10001","2022-03-31","N","USTR",8,"USTR Attribution Summary","Shortfall Frequency (%)",48.78,""
"USTR10001","2022-03-31","N","USTR",9,"USTR Attribution Summary","Average Shortfall (bp)",9.24,""
"USTR10001","2022-03-31","N","USTR",10,"USTR Attribution Summary","Downside Capture Ratio (%)",99.59,100
"USTR10001","2022-03-31","N","USTR",11,"USTR Attribution Summary","Annualized Total Return (%)",3.69,3.52
"USTR10001","2022-03-31","N","USTR",12,"USTR Attribution Summary","Average Periodic Return (bp)",32.19,30.79
"USTR10001","2022-03-31","N","USTR",13,"USTR Attribution Summary","Cumulative Total Return (%)",28.14,26.70
"USTR10001","2022-03-31","N","USTR",14,"USTR Attribution Summary","Excess Return Frequency (%)",51.22,""
"USTR10001","2022-03-31","N","USTR",15,"USTR Attribution Summary","Average Excess Return (bp)",11.53,""
"USTR10001","2022-03-31","N","USTR",16,"USTR Attribution Summary","Upside Capture Ratio (%)",101.64,100
"USTR10001","2022-03-31","N","USTR",17,"USTR Attribution Summary","Sharpe Ratio",0.40,0.38
"USTR10001","2022-03-31","N","USTR",18,"USTR Attribution Summary","Information Ratio",0.34,""
"USTR10001","2022-03-31","N","USTR",1,"USTRCreditQualityBreakdown","AAA",20.85,15.79
"USTR10001","2022-03-31","N","USTR",2,"USTRCreditQualityBreakdown","AA",13.44,25.12
"USTR10001","2022-03-31","N","USTR",3,"USTRCreditQualityBreakdown","A",46.98,59.09
"USTR10001","2022-03-31","N","USTR",4,"USTRCreditQualityBreakdown","BBB",18.52,0
"USTR10001","2022-03-31","N","USTR",5,"USTRCreditQualityBreakdown","BB",0,0
"USTR10001","2022-03-31","N","USTR",6,"USTRCreditQualityBreakdown","B",0,0
