ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,Category,SecurityGroup,SecurityType,BookValue,MarketValue,GainOrLoss,PreTaxBookYield,PreTaxMarketYield,AfterTaxBookYield,AfterTaxMarketYield,TaxEquivalentBookYield,TaxEquivalentMarketYield,Coupon,EffectiveDuration,SecuritiesAtGainNumber,SecuritiesAtGainAmount,SecuritiesAtLossNumber,SecuritiesAtLossAmount,Weight,BenchmarkWeight,BenchmarkCoupon,YTW,BenchmarkYTW,ModifiedDuration,BenchmarkModifiedDuration,Convexity,BenchmarkConvexity,DailyReturn,BenchmarkDailyReturn,MTD,BenchmarkMTD,QTD,BenchmarkQTD,YTD,BenchmarkYTD,CummReturn,BenchmarkCummReturn,BenchmarkBookYield,BenchmarkMarketYield,BenchmarkEffectiveDuration,Liability,BenchmarkMarketValue
"USTR10001","2022-03-31","N","USTR",1,,,"Cash",,71676.19,,,,,,,,0.000,,,,,,0.21,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,,,,,
"USTR10001","2022-03-31","N","USTR",2,,,"Treasury",,5481525.01,,,,,,,,0.664,,,,,,15.90,11.95,0.000,2.66,2.65,20.39,24.48,4.63,6.20,0.21,0.27,-5.71,-6.45,-11.90,-13.59,-11.90,-13.59,-1.99,-1.30,,,,,
"USTR10001","2022-03-31","N","USTR",3,,,"Agency",,420074.40,,,,,,,,3.246,,,,,,1.22,0.00,0.000,3.61,0.00,9.61,0.00,1.58,0.00,0.06,0.00,-2.03,0.00,-9.69,0.00,-9.69,0.00,-5.88,0.00,,,,,
"USTR10001","2022-03-31","N","USTR",4,,,"Local Authority",,122127.15,,,,,,,,7.300,,,,,,0.35,0.00,0.000,4.08,0.00,10.83,0.00,1.60,0.00,0.33,0.00,-4.67,0.00,-9.99,0.00,-9.99,0.00,-3.33,0.00,,,,,
"USTR10001","2022-03-31","N","USTR",5,,,"Sovereign",,0.00,,,,,,,,0.000,,,,,,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
"USTR10001","2022-03-31","N","USTR",6,,,"Supranational",,0.00,,,,,,,,0.000,,,,,,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
"USTR10001","2022-03-31","N","USTR",7,,,"Industrial",,11886596.56,,,,,,,,3.425,,,,,,34.48,61.57,3.300,3.36,3.09,10.00,8.37,1.74,1.30,0.16,0.12,-2.24,-2.34,-7.75,-7.03,-7.75,-7.03,-3.86,-3.80,,,,,
"USTR10001","2022-03-31","N","USTR",8,,,"Utility",,4702821.91,,,,,,,,3.877,,,,,,13.64,12.50,4.023,3.67,3.59,10.72,9.95,1.88,1.64,0.34,0.27,-2.54,-2.72,-9.04,-8.76,-9.04,-8.76,-4.36,-4.44,,,,,
"USTR10001","2022-03-31","N","USTR",9,,,"Finance",,8556885.94,,,,,,,,3.224,,,,,,24.82,13.98,3.678,3.35,3.25,6.19,7.78,0.73,1.13,0.11,0.12,-2.47,-2.56,-6.40,-7.39,-6.40,-7.39,-4.31,-4.42,,,,,
"USTR10001","2022-03-31","N","USTR",10,,,"MBS Pass Thru",,0.00,,,,,,,,0.000,,,,,,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.00,,,,,
"USTR10001","2022-03-31","N","USTR",11,,,"Asset Backed",,357947.37,,,,,,,,2.861,,,,,,1.04,0.00,0.000,4.04,0.00,4.13,0.00,0.18,0.00,-0.80,0.00,-2.05,0.00,-3.25,0.00,-3.25,0.00,-3.05,0.00,,,,,
"USTR10001","2022-03-31","N","USTR",12,,,"CMBS",,1854536.02,,,,,,,,3.662,,,,,,5.38,0.00,0.000,4.61,0.00,5.65,0.00,0.40,0.00,-0.14,0.00,-3.66,0.00,-6.10,0.00,-6.10,0.00,-3.96,0.00,,,,,
"USTR10001","2022-03-31","N","USTR",13,,,"Covered",,0.00,,,,,,,,0.000,,,,,,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
"USTR10001","2022-03-31","N","USTR",14,,,"CMO",,275278.42,,,,,,,,3.403,,,,,,0.80,0.00,0.000,3.54,0.00,4.69,0.00,0.28,0.00,-2.91,0.00,-2.67,0.00,-5.69,0.00,-5.69,0.00,-6.11,0.00,,,,,
"USTR10001","2022-03-31","N","USTR",15,,,"CLO / Other",,746492.07,,,,,,,,1.548,,,,,,2.17,0.00,0.000,1.72,0.00,4.60,0.00,0.23,0.00,-0.52,0.00,-0.35,0.00,-0.42,0.00,-0.42,0.00,0.04,0.00,,,,,
