ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,EquityFlag,TaxType,BenchmarkFlag,PerformanceType,Description,MTD,QTD,YTD,PriorYear,PriorTwoYear,PriorThreeYear,PriorFourYear,PriorFiveYear,PriorSevenYear,PriorTenYear,CYPriorYear,CYPriorTwoYear,CYPriorThreeYear,CYPriorFourYear,CYPriorFiveYear,CYPriorSixYear,CYPriorSevenYear,CYPriorEightYear,CYPriorNineYear,CYPriorTenYear,CYPriorElevenYear,CYPriorTwelveYear,SinceInceptionReturn,InceptionDate,ValueAdded,Risk,TrackingError,InfoRatio,PriorThreeMonth,PriorSixMonth,PriorNineMonth
"USTR10001","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.49,0.72,-2.28,-2.28,5.32,8.43,5.51,6.02,0.00,0.00,,,,,,,,,,,,,5.17,"2015-05-31",,,,,,,
"USTR10001","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.44,0.85,-2.54,-2.54,4.89,8.16,5.24,5.77,0.00,0.00,,,,,,,,,,,,,4.99,"2015-05-31",,,,,,,
"USTR10002","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.53,0.72,-2.26,-2.26,4.52,7.43,4.94,5.33,0.00,0.00,,,,,,,,,,,,,5.01,"2015-06-30",,,,,,,
"USTR10002","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.44,0.89,-2.44,-2.44,4.46,7.41,4.87,5.25,0.00,0.00,,,,,,,,,,,,,5.05,"2015-06-30",,,,,,,
"USTR10006","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.32,0.42,-1.99,-1.99,4.77,7.43,5.02,5.33,0.00,0.00,,,,,,,,,,,,,4.52,"2016-03-31",,,,,,,
"USTR10006","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.24,0.44,-2.13,-2.13,4.44,7.18,4.75,5.11,0.00,0.00,,,,,,,,,,,,,4.22,"2016-03-31",,,,,,,
"USTR100960","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.56,0.47,5.39,5.39,3.54,6.92,0.00,0.00,0.00,0.00,,,,,,,,,,,,,3.82,"2018-01-31",,,,,,,
"USTR100960","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",1.87,0.71,5.28,5.28,6.19,8.83,0.00,0.00,0.00,0.00,,,,,,,,,,,,,5.97,"2018-01-31",,,,,,,
"USTR1025","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.27,0.32,,,,,,,,,,,,,0.32,"2006-12-31",,,,,,,
"USTR1025","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.21,-0.58,-0.60,-0.60,1.26,2.03,1.91,1.61,1.35,1.16,,,,,,,,,,,,,1.16,"2006-12-31",,,,,,,
