ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,EquityFlag,TaxType,BenchmarkFlag,PerformanceType,Description,MTD,QTD,YTD,PriorYear,PriorTwoYear,PriorThreeYear,PriorFourYear,PriorFiveYear,PriorSevenYear,PriorTenYear,CYPriorYear,CYPriorTwoYear,CYPriorThreeYear,CYPriorFourYear,CYPriorFiveYear,CYPriorSixYear,CYPriorSevenYear,CYPriorEightYear,CYPriorNineYear,CYPriorTenYear,CYPriorElevenYear,CYPriorTwelveYear,SinceInceptionReturn,InceptionDate,ValueAdded,Risk,TrackingError,InfoRatio,PriorThreeMonth,PriorSixMonth,PriorNineMonth
"USTR10001","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.00,1.20,13.51,13.51,14.22,8.25,8.20,7.55,0.00,0.00,,,,,,,,,,,,,13.51,"2021-01-01",,,,,,,
"USTR10001","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.00,1.20,13.51,12.89,13.94,7.96,7.95,7.22,0.00,0.00,,,,,,,,,,,,,13.51,"2021-01-01",,,,,,,
"USTR10002","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.05,1.14,11.77,11.77,12.63,7.46,7.32,6.77,0.00,0.00,,,,,,,,,,,,,11.77,"2021-01-01",,,,,,,
"USTR10002","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.05,1.14,11.77,11.85,12.70,7.42,7.27,6.65,0.00,0.00,,,,,,,,,,,,,11.77,"2021-01-01",,,,,,,
"USTR10004","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.01,1.38,14.51,14.51,14.84,8.67,8.41,0.00,0.00,0.00,,,,,,,,,,,,,14.51,"2021-01-01",,,,,,,
"USTR10004","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.01,1.38,14.51,13.82,14.53,8.28,8.24,0.00,0.00,0.00,,,,,,,,,,,,,14.51,"2021-01-01",,,,,,,
"USTR10006","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.01,1.29,11.99,11.99,12.47,7.47,7.24,0.00,0.00,0.00,,,,,,,,,,,,,11.99,"2021-01-01",,,,,,,
"USTR10006","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.01,1.29,11.99,11.46,12.17,7.15,7.00,0.00,0.00,0.00,,,,,,,,,,,,,11.99,"2021-01-01",,,,,,,
"USTR100960","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",1.47,5.87,1.71,1.71,7.69,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,1.71,"2021-01-01",,,,,,,
"USTR100960","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",1.47,5.87,1.71,7.11,10.66,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,1.71,"2021-01-01",,,,,,,
"USTR1025","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.22,0.36,0.36,,,,,,,,,,,,,0.00,"2021-01-01",,,,,,,
"USTR1025","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.00,0.00,0.00,3.16,3.37,2.77,2.18,1.91,1.53,1.39,,,,,,,,,,,,,0.00,"2021-01-01",,,,,,,
"USTR1055","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.16,1.49,9.73,9.73,10.59,6.62,6.27,5.85,5.40,4.92,,,,,,,,,,,,,9.73,"2021-01-01",,,,,,,
"USTR1055","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.16,1.49,9.73,9.65,10.27,6.30,6.00,5.52,5.23,4.76,,,,,,,,,,,,,9.73,"2021-01-01",,,,,,,
