ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,Category,Description,Value,BenchmarkValue
"USTR10001","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10001","2020-12-31","N","USTR",2,"USTR Account Profile","Yield to Worst (%)",1.69,1.58
"USTR10001","2020-12-31","N","USTR",3,"USTR Account Profile","Number of Issues",192.00,1965.00
"USTR10001","2020-12-31","N","USTR",4,"USTR Account Profile","Benchmark Name","ONeal Steel PBO RL PPA Investable Benchmark",""
"USTR10001","2020-12-31","N","USTR",5,"USTR Account Profile","Quality","Investment Grade Only","Investment Grade Only"
"USTR10001","2020-12-31","N","USTR",6,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark"
"USTR10001","2020-12-31","N","USTR",7,"USTR Account Profile","Risk Controls","Max 5% allocation to individual non-Treasury issuers",""
"USTR10001","2020-12-31","N","USTR",8,"USTR Account Profile","Modified Duration",11.03,11.24
"USTR10001","2020-12-31","N","USTR",9,"USTR Account Profile","Market Value","$36,228,926.35","$96,445,373.24"
"USTR10001","2020-12-31","N","USTR",10,"USTR Account Profile","Inception Date",2015-05-31,""
"USTR10001","2020-12-31","N","USTR",11,"USTR Account Profile","Mandate","Liability Driven Investing",""
"USTR10001","2020-12-31","N","USTR",12,"USTR Account Profile","Convexity",2.09,2.12
"USTR10001","2020-12-31","N","USTR",1,"USTR Attribution Summary","Annualized standard Deviation (Volatility) (%)",7.92,7.78
"USTR10001","2020-12-31","N","USTR",2,"USTR Attribution Summary","Minimum Periodic Return (%)",-2.28,-2.41
"USTR10001","2020-12-31","N","USTR",3,"USTR Attribution Summary","Maximum Periodic Return (%)",3.93,4.03
"USTR10001","2020-12-31","N","USTR",4,"USTR Attribution Summary","Beta (Sensitivity to Benchmark)",0.93,""
"USTR10001","2020-12-31","N","USTR",5,"USTR Attribution Summary","R-Squared (%)",83.54,""
"USTR10001","2020-12-31","N","USTR",6,"USTR Attribution Summary","Correlation (%)",91.40,""
"USTR10001","2020-12-31","N","USTR",7,"USTR Attribution Summary","Annualized Tracking Error (bp)",61.40,""
"USTR10001","2020-12-31","N","USTR",8,"USTR Attribution Summary","Shortfall Frequency (%)",50.00,""
"USTR10001","2020-12-31","N","USTR",9,"USTR Attribution Summary","Average Shortfall (bp)",10.68,""
"USTR10001","2020-12-31","N","USTR",10,"USTR Attribution Summary","Downside Capture Ratio (%)",97.00,100.00
"USTR10001","2020-12-31","N","USTR",11,"USTR Attribution Summary","Annualized Total Return (%)",13.51,12.89
"USTR10001","2020-12-31","N","USTR",12,"USTR Attribution Summary","Average Periodic Return (bp)",108.51,103.80
"USTR10001","2020-12-31","N","USTR",13,"USTR Attribution Summary","Cumulative Total Return (%)",13.51,12.89
"USTR10001","2020-12-31","N","USTR",14,"USTR Attribution Summary","Excess Return Frequency (%)",50.00,""
"USTR10001","2020-12-31","N","USTR",15,"USTR Attribution Summary","Average Excess Return (bp)",20.08,""
"USTR10001","2020-12-31","N","USTR",16,"USTR Attribution Summary","Upside Capture Ratio (%)",102.33,100.00
"USTR10001","2020-12-31","N","USTR",17,"USTR Attribution Summary","Sharpe Ratio",1.61,1.56
"USTR10001","2020-12-31","N","USTR",18,"USTR Attribution Summary","Information Ratio",1.01,""
"USTR10001","2020-12-31","N","USTR",1,"USTRCreditQualityBreakdown","AAA",20.70,16.29
"USTR10001","2020-12-31","N","USTR",2,"USTRCreditQualityBreakdown","AA",11.70,21.96
"USTR10001","2020-12-31","N","USTR",3,"USTRCreditQualityBreakdown","A",50.14,61.75
"USTR10001","2020-12-31","N","USTR",4,"USTRCreditQualityBreakdown","BBB",16.63,0.00
"USTR10001","2020-12-31","N","USTR",5,"USTRCreditQualityBreakdown","BB",0.00,0.00
"USTR10001","2020-12-31","N","USTR",6,"USTRCreditQualityBreakdown","B",0.00,0.00
"USTR10001","2020-12-31","N","USTR",7,"USTRCreditQualityBreakdown","CCC",0.00,0.00
"USTR10001","2020-12-31","N","USTR",8,"USTRCreditQualityBreakdown","CC",0.00,0.00
"USTR10001","2020-12-31","N","USTR",9,"USTRCreditQualityBreakdown","C",0.00,0.00
"USTR10001","2020-12-31","N","USTR",10,"USTRCreditQualityBreakdown","D",0.00,0.00
"USTR10001","2020-12-31","N","USTR",11,"USTRCreditQualityBreakdown","Not Rated        ",0.00,0.00
"USTR10001","2020-12-31","N","USTR",1,"USTRCMaturityExposure","0-1",0.56,0.67
"USTR10001","2020-12-31","N","USTR",2,"USTRCMaturityExposure",2022-01-03,12.81,12.85
"USTR10001","2020-12-31","N","USTR",3,"USTRCMaturityExposure",2022-03-05,11.70,10.02
"USTR10001","2020-12-31","N","USTR",4,"USTRCMaturityExposure",2022-05-07,12.69,9.29
"USTR10001","2020-12-31","N","USTR",5,"USTRCMaturityExposure",2022-07-10,15.09,13.36
"USTR10001","2020-12-31","N","USTR",6,"USTRCMaturityExposure",2022-10-20,9.78,21.54
"USTR10001","2020-12-31","N","USTR",7,"USTRCMaturityExposure",20.00,36.52,32.27
"USTR10001","2020-12-31","N","USTR",1,"USTRSectorAllocation","Treasury",18.13,12.22
"USTR10001","2020-12-31","N","USTR",2,"USTRSectorAllocation","Agency",2.29,0.00
"USTR10001","2020-12-31","N","USTR",3,"USTRSectorAllocation","Local Authority",0.39,0.02
"USTR10001","2020-12-31","N","USTR",4,"USTRSectorAllocation","Sovereign",0.00,0.00
"USTR10001","2020-12-31","N","USTR",5,"USTRSectorAllocation","Supra-national",0.00,0.00
"USTR10001","2020-12-31","N","USTR",6,"USTRSectorAllocation","Industrial",31.18,60.97
"USTR10001","2020-12-31","N","USTR",7,"USTRSectorAllocation","Utility",15.22,12.42
"USTR10001","2020-12-31","N","USTR",8,"USTRSectorAllocation","Finance",27.14,14.37
"USTR10001","2020-12-31","N","USTR",9,"USTRSectorAllocation","MBS Pass thru",0.00,0.00
"USTR10001","2020-12-31","N","USTR",10,"USTRSectorAllocation","Asset Backed",0.48,0.00
"USTR10001","2020-12-31","N","USTR",11,"USTRSectorAllocation","CMBS",3.38,0.00
"USTR10001","2020-12-31","N","USTR",12,"USTRSectorAllocation","Covered",0.00,0.00
"USTR10001","2020-12-31","N","USTR",13,"USTRSectorAllocation","CLO / Other",0.00,0.00
"USTR10001","2020-12-31","N","USTR",14,"USTRSectorAllocation","CMO",0.96,0.00
"USTR10002","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10002","2020-12-31","N","USTR",2,"USTR Account Profile","Yield to Worst (%)",1.67,1.52
"USTR10002","2020-12-31","N","USTR",3,"USTR Account Profile","Number of Issues",194.00,1965.00
"USTR10002","2020-12-31","N","USTR",4,"USTR Account Profile","Benchmark Name","US Silica Retirement Plan RL PPA Investable Benchmark",""
"USTR10002","2020-12-31","N","USTR",5,"USTR Account Profile","Quality","Investment Grade Only","Investment Grade Only"
"USTR10002","2020-12-31","N","USTR",6,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark"
"USTR10002","2020-12-31","N","USTR",7,"USTR Account Profile","Risk Controls","Max 5% allocation to individual non-Treasury issuers",""
"USTR10002","2020-12-31","N","USTR",8,"USTR Account Profile","Modified Duration",11.02,11.08
"USTR10002","2020-12-31","N","USTR",9,"USTR Account Profile","Market Value","$49,866,586.31","$160,187,897.06"
"USTR10002","2020-12-31","N","USTR",10,"USTR Account Profile","Inception Date",2015-06-30,""
"USTR10002","2020-12-31","N","USTR",11,"USTR Account Profile","Mandate","Liability Driven Investing",""
"USTR10002","2020-12-31","N","USTR",12,"USTR Account Profile","Convexity",2.12,2.14
"USTR10002","2020-12-31","N","USTR",1,"USTR Attribution Summary","Annualized standard Deviation (Volatility) (%)",7.70,7.63
"USTR10002","2020-12-31","N","USTR",2,"USTR Attribution Summary","Minimum Periodic Return (%)",-2.60,-2.40
"USTR10002","2020-12-31","N","USTR",3,"USTR Attribution Summary","Maximum Periodic Return (%)",3.72,3.98
"USTR10002","2020-12-31","N","USTR",4,"USTR Attribution Summary","Beta (Sensitivity to Benchmark)",0.92,""
"USTR10002","2020-12-31","N","USTR",5,"USTR Attribution Summary","R-Squared (%)",83.34,""
"USTR10002","2020-12-31","N","USTR",6,"USTR Attribution Summary","Correlation (%)",91.29,""
"USTR10002","2020-12-31","N","USTR",7,"USTR Attribution Summary","Annualized Tracking Error (bp)",70.03,""
"USTR10002","2020-12-31","N","USTR",8,"USTR Attribution Summary","Shortfall Frequency (%)",33.33,""
"USTR10002","2020-12-31","N","USTR",9,"USTR Attribution Summary","Average Shortfall (bp)",24.33,""
"USTR10002","2020-12-31","N","USTR",10,"USTR Attribution Summary","Downside Capture Ratio (%)",101.27,100.00
"USTR10002","2020-12-31","N","USTR",11,"USTR Attribution Summary","Annualized Total Return (%)",11.77,11.85
"USTR10002","2020-12-31","N","USTR",12,"USTR Attribution Summary","Average Periodic Return (bp)",95.38,95.95
"USTR10002","2020-12-31","N","USTR",13,"USTR Attribution Summary","Cumulative Total Return (%)",11.77,11.85
"USTR10002","2020-12-31","N","USTR",14,"USTR Attribution Summary","Excess Return Frequency (%)",66.67,""
"USTR10002","2020-12-31","N","USTR",15,"USTR Attribution Summary","Average Excess Return (bp)",11.31,""
"USTR10002","2020-12-31","N","USTR",16,"USTR Attribution Summary","Upside Capture Ratio (%)",100.01,100.00
"USTR10002","2020-12-31","N","USTR",17,"USTR Attribution Summary","Sharpe Ratio",1.43,1.45
"USTR10002","2020-12-31","N","USTR",18,"USTR Attribution Summary","Information Ratio",-0.12,""
"USTR10002","2020-12-31","N","USTR",1,"USTRCreditQualityBreakdown","AAA",19.81,17.15
"USTR10002","2020-12-31","N","USTR",2,"USTRCreditQualityBreakdown","AA",13.39,21.57
"USTR10002","2020-12-31","N","USTR",3,"USTRCreditQualityBreakdown","A",51.96,61.28
"USTR10002","2020-12-31","N","USTR",4,"USTRCreditQualityBreakdown","BBB",14.64,0.00
"USTR10002","2020-12-31","N","USTR",5,"USTRCreditQualityBreakdown","BB",0.00,0.00
"USTR10002","2020-12-31","N","USTR",6,"USTRCreditQualityBreakdown","B",0.00,0.00
"USTR10002","2020-12-31","N","USTR",7,"USTRCreditQualityBreakdown","CCC",0.00,0.00
"USTR10002","2020-12-31","N","USTR",8,"USTRCreditQualityBreakdown","CC",0.00,0.00
"USTR10002","2020-12-31","N","USTR",9,"USTRCreditQualityBreakdown","C",0.00,0.00
"USTR10002","2020-12-31","N","USTR",10,"USTRCreditQualityBreakdown","D",0.00,0.00
"USTR10002","2020-12-31","N","USTR",11,"USTRCreditQualityBreakdown","Not Rated        ",0.00,0.00
"USTR10002","2020-12-31","N","USTR",1,"USTRCMaturityExposure","0-1",1.52,0.78
"USTR10002","2020-12-31","N","USTR",2,"USTRCMaturityExposure",2022-01-03,14.73,14.70
"USTR10002","2020-12-31","N","USTR",3,"USTRCMaturityExposure",2022-03-05,11.73,10.81
"USTR10002","2020-12-31","N","USTR",4,"USTRCMaturityExposure",2022-05-07,13.38,9.51
"USTR10002","2020-12-31","N","USTR",5,"USTRCMaturityExposure",2022-07-10,11.44,13.36
"USTR10002","2020-12-31","N","USTR",6,"USTRCMaturityExposure",2022-10-20,10.71,20.41
"USTR10002","2020-12-31","N","USTR",7,"USTRCMaturityExposure",20.00,36.28,30.44
"USTR10002","2020-12-31","N","USTR",1,"USTRSectorAllocation","Treasury",16.09,13.34
"USTR10002","2020-12-31","N","USTR",2,"USTRSectorAllocation","Agency",2.28,0.00
"USTR10002","2020-12-31","N","USTR",3,"USTRSectorAllocation","Local Authority",0.49,0.03
"USTR10002","2020-12-31","N","USTR",4,"USTRSectorAllocation","Sovereign",0.00,0.00
"USTR10002","2020-12-31","N","USTR",5,"USTRSectorAllocation","Supra-national",0.00,0.00
"USTR10002","2020-12-31","N","USTR",6,"USTRSectorAllocation","Industrial",34.48,60.23
"USTR10002","2020-12-31","N","USTR",7,"USTRSectorAllocation","Utility",13.51,11.86
"USTR10002","2020-12-31","N","USTR",8,"USTRSectorAllocation","Finance",28.55,14.55
"USTR10002","2020-12-31","N","USTR",9,"USTRSectorAllocation","MBS Pass thru",0.00,0.00
"USTR10002","2020-12-31","N","USTR",10,"USTRSectorAllocation","Asset Backed",0.73,0.00
"USTR10002","2020-12-31","N","USTR",11,"USTRSectorAllocation","CMBS",2.60,0.00
"USTR10002","2020-12-31","N","USTR",12,"USTRSectorAllocation","Covered",0.00,0.00
"USTR10002","2020-12-31","N","USTR",13,"USTRSectorAllocation","CLO / Other",0.00,0.00
"USTR10002","2020-12-31","N","USTR",14,"USTRSectorAllocation","CMO",1.08,0.00
"USTR10003","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
