ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,DataSource,SortOrder,Sector,TimeValue,BookValue,TaxEquivalentBookYield,PreTaxBookYield,AfterTaxBookYield,PercentTotalBookValue,ParValue,OverweightUnderWeightValue,Rating,Value
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",1,"Treasury","2019-01-31",,,,,,,6,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",2,"Gov","2019-01-31",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",3,"Industrial","2019-01-31",,,,,,,-25,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",4,"Utility","2019-01-31",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",5,"Finance","2019-01-31",,,,,,,13,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",6,"CLO / Other","2019-01-31",,,,,,,0,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",7,"Treasury","2019-02-28",,,,,,,6,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",8,"Gov","2019-02-28",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",9,"Industrial","2019-02-28",,,,,,,-25,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",10,"Utility","2019-02-28",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",11,"Finance","2019-02-28",,,,,,,13,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",12,"CLO / Other","2019-02-28",,,,,,,0,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",13,"Treasury","2019-03-31",,,,,,,6,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",14,"Gov","2019-03-31",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",15,"Industrial","2019-03-31",,,,,,,-25,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",16,"Utility","2019-03-31",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",17,"Finance","2019-03-31",,,,,,,13,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",18,"CLO / Other","2019-03-31",,,,,,,0,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",19,"Treasury","2019-04-30",,,,,,,6,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",20,"Gov","2019-04-30",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",21,"Industrial","2019-04-30",,,,,,,-25,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",22,"Utility","2019-04-30",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",23,"Finance","2019-04-30",,,,,,,13,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",24,"CLO / Other","2019-04-30",,,,,,,0,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",25,"Treasury","2019-05-31",,,,,,,6,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",26,"Gov","2019-05-31",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",27,"Industrial","2019-05-31",,,,,,,-25,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",28,"Utility","2019-05-31",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",29,"Finance","2019-05-31",,,,,,,13,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",30,"CLO / Other","2019-05-31",,,,,,,0,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",31,"Treasury","2019-06-30",,,,,,,6,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",32,"Gov","2019-06-30",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",33,"Industrial","2019-06-30",,,,,,,-25,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",34,"Utility","2019-06-30",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",35,"Finance","2019-06-30",,,,,,,13,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",36,"CLO / Other","2019-06-30",,,,,,,0,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",37,"Treasury","2019-07-31",,,,,,,6,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",38,"Gov","2019-07-31",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",39,"Industrial","2019-07-31",,,,,,,-25,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",40,"Utility","2019-07-31",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",41,"Finance","2019-07-31",,,,,,,13,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",42,"CLO / Other","2019-07-31",,,,,,,0,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",43,"Treasury","2019-08-31",,,,,,,6,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",44,"Gov","2019-08-31",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",45,"Industrial","2019-08-31",,,,,,,-25,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",46,"Utility","2019-08-31",,,,,,,3,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",47,"Finance","2019-08-31",,,,,,,13,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",48,"CLO / Other","2019-08-31",,,,,,,0,,
"USTR10001","2020-12-31","N","USTR","OverWeightUnderWeightGraph",49,"Treasury","2019-09-30",,,,,,,6,,
