ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,EquityFlag,TaxType,BenchmarkFlag,PerformanceType,Description,MTD,QTD,YTD,PriorYear,PriorTwoYear,PriorThreeYear,PriorFourYear,PriorFiveYear,PriorSevenYear,PriorTenYear,CYPriorYear,CYPriorTwoYear,CYPriorThreeYear,CYPriorFourYear,CYPriorFiveYear,CYPriorSixYear,CYPriorSevenYear,CYPriorEightYear,CYPriorNineYear,CYPriorTenYear,CYPriorElevenYear,CYPriorTwelveYear,SinceInceptionReturn,InceptionDate,ValueAdded,Risk,TrackingError,InfoRatio,PriorThreeMonth,PriorSixMonth,PriorNineMonth
"USTR10001","2020-12-31","N","USTR",1,,,"N",,"Total Return",0,1.2,13.51,-0.01,13.38,4.89,3.9,-2.46,5.14,6.84,,,,,,,,,,,,,"13.505907955556506","2021-01-01",,,,,,,
"USTR10001","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0,1.2,13.51,-1.29,13.41,5,3.48,-3.06,4.64,5.95,,,,,,,,,,,,,"13.505907955556506","2021-01-01",,,,,,,
"USTR10002","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.05,1.14,11.77,-0.56,12.97,4.62,3.88,-2.74,4.26,5.83,,,,,,,,,,,,,"11.76533269716391","2021-01-01",,,,,,,
"USTR10002","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-0.05,1.14,11.77,-1.14,12.35,4.05,2.77,-3.58,4.04,5.4,,,,,,,,,,,,,"11.76533269716391","2021-01-01",,,,,,,
"USTR10004","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.01,1.38,14.51,-0.17,15.16,5.63,4.25,-3.05,5.33,7.32,,,,,,,,,,,,,"14.511354733929927","2021-01-01",,,,,,,
"USTR10004","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-0.01,1.38,14.51,-2.08,14.86,5.03,3.53,-4.23,4.43,5.86,,,,,,,,,,,,,"14.511354733929927","2021-01-01",,,,,,,
"USTR10006","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.01,1.29,11.99,-0.07,12.12,5.28,4.03,-1.68,4.92,6.41,,,,,,,,,,,,,"11.987180301862965","2021-01-01",,,,,,,
"USTR10006","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-0.01,1.29,11.99,-0.01,12.05,5.17,3.57,-1.71,4.75,5.99,,,,,,,,,,,,,"11.987180301862965","2021-01-01",,,,,,,
"USTR100960","2020-12-31","N","USTR",1,,,"N",,"Total Return",1.47,5.87,1.71,19.11,35.72,25.63,15.17,15.41,20.69,20.17,,,,,,,,,,,,,"1.7136247048697317","2021-01-01",,,,,,,
"USTR100960","2020-12-31","N","USTR",2,,,"Y",,"Total Return",1.47,5.87,1.71,25.08,41.15,28.4,16.94,15.94,23.97,22.25,,,,,,,,,,,,,"1.7136247048697317","2021-01-01",,,,,,,
"USTR1025","2020-12-31","N","USTR",1,,,"N",,"Total Return",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,"0","2021-01-01",,,,,,,
"USTR1025","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0,0,0,0.62,0.53,0.19,0.21,0.12,0.29,0.31,,,,,,,,,,,,,"0","2021-01-01",,,,,,,
"USTR1055","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.16,1.49,9.73,1.92,11.79,6.11,4.53,0.51,5.81,7.46,,,,,,,,,,,,,"9.73248603826693","2021-01-01",,,,,,,
"USTR1055","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.16,1.49,9.73,0.58,9.47,4.33,2.98,-0.87,4.14,5.2,,,,,,,,,,,,,"9.73248603826693","2021-01-01",,,,,,,
"USTR107449","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.5,0.97,5.83,6.13,7.55,3.93,3.45,2.84,4.25,5.85,,,,,,,,,,,,,"5.833519842484325","2021-01-01",,,,,,,
"USTR107449","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.5,0.97,5.83,2.5,4.29,1.94,1.41,0.84,2.21,2.97,,,,,,,,,,,,,"5.833519842484325","2021-01-01",,,,,,,
"USTR109195","2020-12-31","N","USTR",1,,,"N",,"Total Return",-1.14,-2.96,17.89,-12.88,0.28,-11.33,-7.13,-15.12,-5.15,-4.14,,,,,,,,,,,,,"17.886075766487043","2021-01-01",,,,,,,
"USTR109195","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-1.14,-2.96,17.89,-13.26,0.05,-11.48,-7.68,-15.61,-5.69,-4.69,,,,,,,,,,,,,"17.886075766487043","2021-01-01",,,,,,,
"USTR109433","2020-12-31","N","USTR",1,,,"N",,"Total Return",1.57,6.06,2.73,20.54,37.85,26.53,15.89,14.95,21.86,20.46,,,,,,,,,,,,,"2.732532947217292","2021-01-01",,,,,,,
"USTR109433","2020-12-31","N","USTR",2,,,"Y",,"Total Return",1.57,6.06,2.73,25.08,41.15,28.4,16.94,15.94,23.97,22.25,,,,,,,,,,,,,"2.732532947217292","2021-01-01",,,,,,,
"USTR109553","2020-12-31","N","USTR",1,,,"N",,"Total Return",-1.07,-2.83,17.52,-12.15,0.68,-10.84,-7.12,-15.01,-5.24,-4.29,,,,,,,,,,,,,"17.516133141350608","2021-01-01",,,,,,,
"USTR109553","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-1.07,-2.83,17.52,-13.04,0.15,-11.3,-7.51,-15.37,-5.57,-4.57,,,,,,,,,,,,,"17.516133141350608","2021-01-01",,,,,,,
"USTR109670","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.41,0.92,8.56,5.04,8.57,3.73,3.52,1.39,5.07,6.6,,,,,,,,,,,,,"8.563836314334484","2021-01-01",,,,,,,
"USTR109670","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.41,0.92,8.56,1.67,6.91,2.71,1.86,-0.47,2.61,3.34,,,,,,,,,,,,,"8.563836314334484","2021-01-01",,,,,,,
"USTR11000","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.44,1.01,8.03,5.36,9.26,4.12,3.91,1.95,5.5,7.46,,,,,,,,,,,,,"8.026469180406192","2021-01-01",,,,,,,
"USTR11000","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.44,1.01,8.03,1.67,6.91,2.71,1.86,-0.47,2.61,3.34,,,,,,,,,,,,,"8.026469180406192","2021-01-01",,,,,,,
"USTR111505","2020-12-31","N","USTR",1,,,"N",,"Total Return",0.38,0.96,8.38,4.67,8.64,3.89,3.4,1.27,5.13,6.69,,,,,,,,,,,,,"8.381051124582228","2021-01-01",,,,,,,
"USTR111505","2020-12-31","N","USTR",2,,,"Y",,"Total Return",0.38,0.96,8.38,1.67,6.91,2.71,1.86,-0.47,2.61,3.34,,,,,,,,,,,,,"8.381051124582228","2021-01-01",,,,,,,
"USTR111970","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.14,0.69,17.79,-1.65,13.62,2.8,2.28,-6.11,3.65,5.52,,,,,,,,,,,,,"17.793448593464632","2021-01-01",,,,,,,
"USTR111970","2020-12-31","N","USTR",2,,,"Y",,"Total Return",-0.14,0.69,17.79,-3.39,13.88,2.5,1.68,-6.96,3.12,4.51,,,,,,,,,,,,,"17.793448593464632","2021-01-01",,,,,,,
"USTR113705","2020-12-31","N","USTR",1,,,"N",,"Total Return",-0.28,0.57,16.25,-3.34,12.63,2.3,2.11,-5.89,3.46,5.11,,,,,,,,,,,,,"16.248220813486224","2021-01-01",,,,,,,
