ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,Category,Description,Value,BenchmarkValue
"USTR10001","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10001","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR10001","2020-12-31","N","USTR",3,"USTR Account Profile","Yield to Worst (%)",1.691,1.582
"USTR10001","2020-12-31","N","USTR",4,"USTR Account Profile","Number of Issues",192,1965
"USTR10001","2020-12-31","N","USTR",5,"USTR Account Profile","Benchmark Name","ONeal Steel PBO RL PPA Investable Benchmark",""
"USTR10001","2020-12-31","N","USTR",6,"USTR Account Profile","Quality","Investment Grade Only","Investment Grade Only"
"USTR10001","2020-12-31","N","USTR",7,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark"
"USTR10001","2020-12-31","N","USTR",8,"USTR Account Profile","Risk Controls","Max 5% allocation to individual non-Treasury issuers",""
"USTR10001","2020-12-31","N","USTR",9,"USTR Account Profile","Modified Duration",11.028,11.236
"USTR10001","2020-12-31","N","USTR",10,"USTR Account Profile","Market Value","$36,228,926","$96,445,373"
"USTR10001","2020-12-31","N","USTR",11,"USTR Account Profile","Inception Date",2015-05-31,""
"USTR10001","2020-12-31","N","USTR",12,"USTR Account Profile","Mandate","Liability Driven Investing",""
"USTR10001","2020-12-31","N","USTR",13,"USTR Account Profile","Market Yield",2.806,2.825
"USTR10001","2020-12-31","N","USTR",14,"USTR Account Profile","Convexity",2.093,2.122
"USTR10001","2020-12-31","N","USTR",1,"USTR Attribution Summary","Minimum Periodic Return (%)",-0.001,-0.108
"USTR10001","2020-12-31","N","USTR",2,"USTR Attribution Summary","Maximum Periodic Return (%)",-0.001,-0.108
"USTR10001","2020-12-31","N","USTR",3,"USTR Attribution Summary","Shortfall Frequency (%)",0,""
"USTR10001","2020-12-31","N","USTR",4,"USTR Attribution Summary","Downside Capture Ratio (%)",0.504,100
"USTR10001","2020-12-31","N","USTR",5,"USTR Attribution Summary","Annualized Total Return (%)",-0.007,-1.293
"USTR10001","2020-12-31","N","USTR",6,"USTR Attribution Summary","Average Periodic Return (bp)",-0.055,-10.843
"USTR10001","2020-12-31","N","USTR",7,"USTR Attribution Summary","Cumulative Total Return (%)",-0.001,-0.108
"USTR10001","2020-12-31","N","USTR",8,"USTR Attribution Summary","Excess Return Frequency (%)",100,""
"USTR10001","2020-12-31","N","USTR",9,"USTR Attribution Summary","Average Excess Return (bp)",10.788,""
"USTR10001","2020-12-31","N","USTR",1,"USTRCreditQualityBreakdown","AAA",20.698,16.255
"USTR10001","2020-12-31","N","USTR",2,"USTRCreditQualityBreakdown","AA",11.696,21.995
"USTR10001","2020-12-31","N","USTR",3,"USTRCreditQualityBreakdown","A",50.139,61.75
"USTR10001","2020-12-31","N","USTR",4,"USTRCreditQualityBreakdown","BBB",16.63,0
"USTR10001","2020-12-31","N","USTR",5,"USTRCreditQualityBreakdown","BB",0,0
"USTR10001","2020-12-31","N","USTR",6,"USTRCreditQualityBreakdown","B",0,0
"USTR10001","2020-12-31","N","USTR",7,"USTRCreditQualityBreakdown","CCC",0,0
"USTR10001","2020-12-31","N","USTR",8,"USTRCreditQualityBreakdown","CC",0,0
"USTR10001","2020-12-31","N","USTR",9,"USTRCreditQualityBreakdown","C",0,0
"USTR10001","2020-12-31","N","USTR",10,"USTRCreditQualityBreakdown","D",0,0
"USTR10001","2020-12-31","N","USTR",11,"USTRCreditQualityBreakdown","Not Rated        ",0,0
"USTR10001","2020-12-31","N","USTR",1,"USTRCMaturityExposure","0-1",0.565,0.669
"USTR10001","2020-12-31","N","USTR",2,"USTRCMaturityExposure",2022-01-03,12.81,12.847
"USTR10001","2020-12-31","N","USTR",3,"USTRCMaturityExposure",2022-03-05,11.704,10.022
"USTR10001","2020-12-31","N","USTR",4,"USTRCMaturityExposure",2022-05-07,12.695,9.293
"USTR10001","2020-12-31","N","USTR",5,"USTRCMaturityExposure",2022-07-10,15.09,13.361
"USTR10001","2020-12-31","N","USTR",6,"USTRCMaturityExposure",2022-10-20,9.777,21.542
"USTR10001","2020-12-31","N","USTR",7,"USTRCMaturityExposure",20,36.522,32.267
"USTR10001","2020-12-31","N","USTR",1,"USTRSectorAllocation","Treasury",18.129,12.217
"USTR10001","2020-12-31","N","USTR",2,"USTRSectorAllocation","Agency",2.285,0
"USTR10001","2020-12-31","N","USTR",3,"USTRSectorAllocation","Local Authority",0.392,0.024
"USTR10001","2020-12-31","N","USTR",4,"USTRSectorAllocation","Sovereign",0,0
"USTR10001","2020-12-31","N","USTR",5,"USTRSectorAllocation","Supra-national",0,0
"USTR10001","2020-12-31","N","USTR",6,"USTRSectorAllocation","Industrial",31.184,60.972
"USTR10001","2020-12-31","N","USTR",7,"USTRSectorAllocation","Utility",15.215,12.422
"USTR10001","2020-12-31","N","USTR",8,"USTRSectorAllocation","Finance",27.138,14.365
"USTR10001","2020-12-31","N","USTR",9,"USTRSectorAllocation","MBS Pass thru",1.087,0
"USTR10001","2020-12-31","N","USTR",10,"USTRSectorAllocation","Asset Backed",0.351,0
"USTR10001","2020-12-31","N","USTR",11,"USTRSectorAllocation","CMBS",3.382,0
"USTR10001","2020-12-31","N","USTR",12,"USTRSectorAllocation","Covered",0,0
"USTR10001","2020-12-31","N","USTR",13,"USTRSectorAllocation","Other",0,0
"USTR10001","2020-12-31","N","USTR",14,"USTRSectorAllocation","CMO",0,0
"USTR10002","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10002","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR10002","2020-12-31","N","USTR",3,"USTR Account Profile","Yield to Worst (%)",1.67,1.517
"USTR10002","2020-12-31","N","USTR",4,"USTR Account Profile","Number of Issues",194,1965
"USTR10002","2020-12-31","N","USTR",5,"USTR Account Profile","Benchmark Name","US Silica Retirement Plan RL PPA Investable Benchmark",""
"USTR10002","2020-12-31","N","USTR",6,"USTR Account Profile","Quality","Investment Grade Only","Investment Grade Only"
"USTR10002","2020-12-31","N","USTR",7,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark"
"USTR10002","2020-12-31","N","USTR",8,"USTR Account Profile","Risk Controls","Max 5% allocation to individual non-Treasury issuers",""
"USTR10002","2020-12-31","N","USTR",9,"USTR Account Profile","Modified Duration",11.017,11.079
"USTR10002","2020-12-31","N","USTR",10,"USTR Account Profile","Market Value","$49,866,586","$160,187,897"
"USTR10002","2020-12-31","N","USTR",11,"USTR Account Profile","Inception Date",2015-06-30,""
"USTR10002","2020-12-31","N","USTR",12,"USTR Account Profile","Mandate","Liability Driven Investing",""
"USTR10002","2020-12-31","N","USTR",13,"USTR Account Profile","Market Yield",2.862,2.8
"USTR10002","2020-12-31","N","USTR",14,"USTR Account Profile","Convexity",2.122,2.138
"USTR10002","2020-12-31","N","USTR",1,"USTR Attribution Summary","Minimum Periodic Return (%)",-0.046,-0.095
"USTR10002","2020-12-31","N","USTR",2,"USTR Attribution Summary","Maximum Periodic Return (%)",-0.046,-0.095
"USTR10002","2020-12-31","N","USTR",3,"USTR Attribution Summary","Shortfall Frequency (%)",0,""
"USTR10002","2020-12-31","N","USTR",4,"USTR Attribution Summary","Downside Capture Ratio (%)",48.697,100
"USTR10002","2020-12-31","N","USTR",5,"USTR Attribution Summary","Annualized Total Return (%)",-0.556,-1.139
"USTR10002","2020-12-31","N","USTR",6,"USTR Attribution Summary","Average Periodic Return (bp)",-4.647,-9.542
"USTR10002","2020-12-31","N","USTR",7,"USTR Attribution Summary","Cumulative Total Return (%)",-0.046,-0.095
"USTR10002","2020-12-31","N","USTR",8,"USTR Attribution Summary","Excess Return Frequency (%)",100,""
"USTR10002","2020-12-31","N","USTR",9,"USTR Attribution Summary","Average Excess Return (bp)",4.896,""
"USTR10002","2020-12-31","N","USTR",1,"USTRCreditQualityBreakdown","AAA",18.333,17.123
"USTR10002","2020-12-31","N","USTR",2,"USTRCreditQualityBreakdown","AA",14.871,21.594
"USTR10002","2020-12-31","N","USTR",3,"USTRCreditQualityBreakdown","A",51.687,61.282
"USTR10002","2020-12-31","N","USTR",4,"USTRCreditQualityBreakdown","BBB",14.639,0
"USTR10002","2020-12-31","N","USTR",5,"USTRCreditQualityBreakdown","BB",0,0
"USTR10002","2020-12-31","N","USTR",6,"USTRCreditQualityBreakdown","B",0,0
"USTR10002","2020-12-31","N","USTR",7,"USTRCreditQualityBreakdown","CCC",0,0
"USTR10002","2020-12-31","N","USTR",8,"USTRCreditQualityBreakdown","CC",0,0
"USTR10002","2020-12-31","N","USTR",9,"USTRCreditQualityBreakdown","C",0,0
"USTR10002","2020-12-31","N","USTR",10,"USTRCreditQualityBreakdown","D",0,0
"USTR10002","2020-12-31","N","USTR",11,"USTRCreditQualityBreakdown","Not Rated        ",0.269,0
"USTR10002","2020-12-31","N","USTR",1,"USTRCMaturityExposure","0-1",1.521,0.778
"USTR10002","2020-12-31","N","USTR",2,"USTRCMaturityExposure",2022-01-03,14.734,14.698
"USTR10002","2020-12-31","N","USTR",3,"USTRCMaturityExposure",2022-03-05,11.734,10.806
"USTR10002","2020-12-31","N","USTR",4,"USTRCMaturityExposure",2022-05-07,13.382,9.505
"USTR10002","2020-12-31","N","USTR",5,"USTRCMaturityExposure",2022-07-10,11.44,13.357
"USTR10002","2020-12-31","N","USTR",6,"USTRCMaturityExposure",2022-10-20,10.707,20.413
"USTR10002","2020-12-31","N","USTR",7,"USTRCMaturityExposure",20,36.282,30.443
"USTR10002","2020-12-31","N","USTR",1,"USTRSectorAllocation","Treasury",16.093,13.336
"USTR10002","2020-12-31","N","USTR",2,"USTRSectorAllocation","Agency",2.279,0
"USTR10002","2020-12-31","N","USTR",3,"USTRSectorAllocation","Local Authority",0.486,0.025
"USTR10002","2020-12-31","N","USTR",4,"USTRSectorAllocation","Sovereign",0,0
"USTR10002","2020-12-31","N","USTR",5,"USTRSectorAllocation","Supra-national",0,0
"USTR10002","2020-12-31","N","USTR",6,"USTRSectorAllocation","Industrial",34.476,60.229
"USTR10002","2020-12-31","N","USTR",7,"USTRSectorAllocation","Utility",13.509,11.862
"USTR10002","2020-12-31","N","USTR",8,"USTRSectorAllocation","Finance",28.549,14.549
"USTR10002","2020-12-31","N","USTR",9,"USTRSectorAllocation","MBS Pass thru",0.99,0
"USTR10002","2020-12-31","N","USTR",10,"USTRSectorAllocation","Asset Backed",0.373,0
"USTR10002","2020-12-31","N","USTR",11,"USTRSectorAllocation","CMBS",2.604,0
"USTR10002","2020-12-31","N","USTR",12,"USTRSectorAllocation","Covered",0,0
"USTR10002","2020-12-31","N","USTR",13,"USTRSectorAllocation","Other",0,0
"USTR10002","2020-12-31","N","USTR",14,"USTRSectorAllocation","CMO",0.44,0
"USTR10003","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10003","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR10003","2020-12-31","N","USTR",3,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark"
"USTR10004","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10004","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR10004","2020-12-31","N","USTR",3,"USTR Account Profile","Yield to Worst (%)",1.847,1.714
"USTR10004","2020-12-31","N","USTR",4,"USTR Account Profile","Number of Issues",162,1965
"USTR10004","2020-12-31","N","USTR",5,"USTR Account Profile","Benchmark Name","Knoll Pension Plan ABO 0-30 Yr RLPPA Inv Benchmark ",""
"USTR10004","2020-12-31","N","USTR",6,"USTR Account Profile","Quality","Investment Grade Only","Investment Grade Only"
"USTR10004","2020-12-31","N","USTR",7,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark"
"USTR10004","2020-12-31","N","USTR",8,"USTR Account Profile","Risk Controls","Max 5% allocation to individual non-Treasury issuers",""
"USTR10004","2020-12-31","N","USTR",9,"USTR Account Profile","Modified Duration",12.446,12.62
"USTR10004","2020-12-31","N","USTR",10,"USTR Account Profile","Market Value","$80,038,543","$216,821,745"
"USTR10004","2020-12-31","N","USTR",11,"USTR Account Profile","Inception Date",2016-04-30,""
"USTR10004","2020-12-31","N","USTR",12,"USTR Account Profile","Mandate","Liability Driven Investing",""
"USTR10004","2020-12-31","N","USTR",13,"USTR Account Profile","Market Yield",2.874,2.817
"USTR10004","2020-12-31","N","USTR",14,"USTR Account Profile","Convexity",2.515,2.496
"USTR10004","2020-12-31","N","USTR",1,"USTR Attribution Summary","Minimum Periodic Return (%)",-0.014,-0.175
"USTR10004","2020-12-31","N","USTR",2,"USTR Attribution Summary","Maximum Periodic Return (%)",-0.014,-0.175
"USTR10004","2020-12-31","N","USTR",3,"USTR Attribution Summary","Shortfall Frequency (%)",0,""
"USTR10004","2020-12-31","N","USTR",4,"USTR Attribution Summary","Downside Capture Ratio (%)",8.256,100
"USTR10004","2020-12-31","N","USTR",5,"USTR Attribution Summary","Annualized Total Return (%)",-0.173,-2.077
"USTR10004","2020-12-31","N","USTR",6,"USTR Attribution Summary","Average Periodic Return (bp)",-1.443,-17.473
"USTR10004","2020-12-31","N","USTR",7,"USTR Attribution Summary","Cumulative Total Return (%)",-0.014,-0.175
"USTR10004","2020-12-31","N","USTR",8,"USTR Attribution Summary","Excess Return Frequency (%)",100,""
"USTR10004","2020-12-31","N","USTR",9,"USTR Attribution Summary","Average Excess Return (bp)",16.03,""
"USTR10004","2020-12-31","N","USTR",1,"USTRCreditQualityBreakdown","AAA",21.124,19.463
"USTR10004","2020-12-31","N","USTR",2,"USTRCreditQualityBreakdown","AA",13.626,21.354
"USTR10004","2020-12-31","N","USTR",3,"USTRCreditQualityBreakdown","A",49.85,59.183
"USTR10004","2020-12-31","N","USTR",4,"USTRCreditQualityBreakdown","BBB",15.178,0
"USTR10004","2020-12-31","N","USTR",5,"USTRCreditQualityBreakdown","BB",0,0
"USTR10004","2020-12-31","N","USTR",6,"USTRCreditQualityBreakdown","B",0,0
"USTR10004","2020-12-31","N","USTR",7,"USTRCreditQualityBreakdown","CCC",0,0
"USTR10004","2020-12-31","N","USTR",8,"USTRCreditQualityBreakdown","CC",0,0
"USTR10004","2020-12-31","N","USTR",9,"USTRCreditQualityBreakdown","C",0,0
"USTR10004","2020-12-31","N","USTR",10,"USTRCreditQualityBreakdown","D",0,0
"USTR10004","2020-12-31","N","USTR",11,"USTRCreditQualityBreakdown","Not Rated        ",0,0
