ProductID,ProductName,LineofBusinessCode,AdhocFlag
"USTR20","HILL-A","USTR","N"
"USTR64","ORL-A","USTR","N"
"USTR69","DVIT","USTR","N"
"USTR70","DVWCT","USTR","N"
"USTR72","UFCW-A","USTR","N"
"USTR76","PAWCSF","USTR","N"
"USTR81","EXCO","USTR","N"
"USTR89","KUEA","USTR","N"
"USTR205","NYL-TIP","USTR","N"
"USTR303","MC-DBP","USTR","N"
"USTR346","BLADE","USTR","N"
"USTR402","MACON-A","USTR","N"
"USTR446","CADMUS","USTR","N"
"USTR486","DVHIT","USTR","N"
"USTR683","UNM-A","USTR","N"
"USTR765","BCH-RI","USTR","N"
"USTR855","UNM-H","USTR","N"
"USTR908","DOC-A","USTR","N"
"USTR941","BME_MKT","USTR","N"
"USTR953","IME_MKT","USTR","N"
"USTR999","INOE-A","USTR","N"
"USTR1025","TLOC-A","USTR","N"
"USTR1055","PA-TIP","USTR","N"
"USTR1242","BWEBS-A","USTR","N"
"USTR1245","BWEBW-A","USTR","N"
"USTR1282","DELCO-A","USTR","N"
"USTR1294","SM-A","USTR","N"
"USTR1410","PAUSTIF","USTR","N"
"USTR1549","ALA","USTR","N"
"USTR1590","NECA","USTR","N"
"USTR1617","DECATUR","USTR","N"
"USTR1708","JKNOX","USTR","N"
"USTR1709","MARITZ","USTR","N"
"USTR1710","GENESIS","USTR","N"
"USTR1717","MIDTOWN","USTR","N"
"USTR1728","GROTON","USTR","N"
"USTR2071","LUZERNE","USTR","N"
"USTR2082","CARROLL","USTR","N"
"USTR2122","TOWER","USTR","N"
"USTR2139","SIBLEY","USTR","N"
"USTR2152","NEEWBF","USTR","N"
"USTR2154","AIR","USTR","N"
"USTR2157","KINKAID","USTR","N"
"USTR2180","UWAY","USTR","N"
"USTR2181","BAKERY","USTR","N"
"USTR2245","IRONDC","USTR","N"
"USTR2249","DEVRO","USTR","N"
"USTR2293","LCE_MKT","USTR","N"
"USTR2309","CHEPIP","USTR","N"
"USTR2319","SIFMA","USTR","N"
"USTR2393","SHAGG","USTR","N"
"USTR2406","MAXXAM","USTR","N"
"USTR2432","AIRG","USTR","N"
"USTR2435","BME_GC_MKT","USTR","N"
"USTR2437","SDE_GC_MKT","USTR","N"
"USTR2478","SHAPELL","USTR","N"
"USTR2492","AIR-MRGE","USTR","N"
"USTR2517","SHF","USTR","N"
"USTR2525","LOCAL138","USTR","N"
"USTR2543","LASALLE","USTR","N"
"USTR2557","CLARIANT","USTR","N"
"USTR2616","TLOW-A","USTR","N"
"USTR2628","EASTON","USTR","N"
"USTR2693","WASH","USTR","N"
"USTR2710","PABC","USTR","N"
"USTR2764","SHMDS","USTR","N"
"USTR2767","CPIPE","USTR","N"
"USTR2780","ACUMENT","USTR","N"
"USTR2855","MIDHY","USTR","N"
"USTR2861","BIO","USTR","N"
"USTR2880","MENASHA","USTR","N"
"USTR2889","HANCOCK","USTR","N"
"USTR2892","OWENS","USTR","N"
"USTR2897","NFPPA_TEMPLE","USTR","N"
"USTR2911","OWENSG","USTR","N"
"USTR2912","OWENS-MERGE","USTR","N"
"USTR2922","DOC-G","USTR","N"
"USTR2941","DOC-MRGE","USTR","N"
"USTR2991","LME","USTR","N"
"USTR2992","BETHESDA","USTR","N"
"USTR2995","NORTH","USTR","N"
"USTR3010","PAN","USTR","N"
"USTR3048","VICHARA","USTR","N"
"USTR3083","HILL-FL","USTR","N"
"USTR3093","COLUMBIA","USTR","N"
"USTR3165","MAHLE","USTR","N"
"USTR3218","NFPPA_PA-SWIF","USTR","N"
"USTR3227","BAF","USTR","N"
"USTR3230","GWINNETT","USTR","N"
"USTR3234","FERGUSON","USTR","N"
"USTR3248","TOLEDO","USTR","N"
"USTR3255","NFPPA_PAWCSF","USTR","N"
"USTR3266","KARL","USTR","N"
"USTR3281","SACH","USTR","N"
"USTR3327","NFLPA","USTR","N"
"USTR3329","NFPPA_AKRON","USTR","N"
"USTR3334","SUD","USTR","N"
"USTR3344","AKRON","USTR","N"
"USTR3366","MARQAP","USTR","N"
"USTR3369","AMERICAN","USTR","N"
"USTR3602","LOCAL456","USTR","N"
"USTR3617","NFPPA_MAZDA","USTR","N"
