ProductID,EntityId,LineofBusinessCode,AdhocFlag,SortOrder
"USTR20","USTR10","USTR","N",1
"USTR69","USTR12","USTR","N",1
"USTR70","USTR13","USTR","N",1
"USTR72","USTR9","USTR","N",1
"USTR76","USTR8","USTR","N",1
"USTR81","USTR6","USTR","N",1
"USTR89","USTR14","USTR","N",1
"USTR205","USTR15","USTR","N",1
"USTR303","USTR16","USTR","N",1
"USTR346","USTR17","USTR","N",1
"USTR402","USTR18","USTR","N",1
"USTR486","USTR21","USTR","N",1
"USTR683","USTR22","USTR","N",1
"USTR765","USTR23","USTR","N",1
"USTR855","USTR24","USTR","N",1
"USTR908","USTR25","USTR","N",1
"USTR999","USTR26","USTR","N",1
"USTR1025","USTR27","USTR","N",1
"USTR1055","USTR28","USTR","N",1
"USTR1282","USTR31","USTR","N",1
"USTR1294","USTR32","USTR","N",1
"USTR1410","USTR33","USTR","N",1
"USTR1549","USTR35","USTR","N",1
"USTR1590","USTR36","USTR","N",1
"USTR1617","USTR37","USTR","N",1
"USTR1708","USTR40","USTR","N",1
"USTR1709","USTR38","USTR","N",1
"USTR1710","USTR39","USTR","N",1
"USTR1717","USTR41","USTR","N",1
"USTR1728","USTR42","USTR","N",1
"USTR2071","USTR44","USTR","N",1
"USTR2082","USTR43","USTR","N",1
"USTR2139","USTR46","USTR","N",1
"USTR2152","USTR47","USTR","N",1
"USTR2157","USTR49","USTR","N",1
"USTR2180","USTR52","USTR","N",1
"USTR2181","USTR53","USTR","N",1
"USTR2245","USTR54","USTR","N",1
"USTR2249","USTR56","USTR","N",1
"USTR2309","USTR57","USTR","N",1
"USTR2319","USTR58","USTR","N",1
"USTR2393","USTR59","USTR","N",1
"USTR2517","USTR62","USTR","N",1
"USTR2525","USTR63","USTR","N",1
"USTR2543","USTR64","USTR","N",1
"USTR2628","USTR67","USTR","N",1
"USTR2693","USTR68","USTR","N",1
"USTR2764","USTR70","USTR","N",1
"USTR2767","USTR71","USTR","N",1
"USTR2855","USTR75","USTR","N",1
"USTR2861","USTR76","USTR","N",1
"USTR2892","USTR79","USTR","N",1
"USTR2897","USTR273","USTR","N",1
"USTR2911","USTR80","USTR","N",1
"USTR2912","USTR151","USTR","N",1
"USTR2922","USTR74","USTR","N",1
"USTR2941","USTR149","USTR","N",1
"USTR2995","USTR82","USTR","N",1
"USTR3010","USTR83","USTR","N",1
"USTR3083","USTR84","USTR","N",1
"USTR3093","USTR85","USTR","N",1
"USTR3165","USTR86","USTR","N",1
"USTR3218","USTR204","USTR","N",1
"USTR3230","USTR89","USTR","N",1
"USTR3248","USTR91","USTR","N",1
"USTR3255","USTR215","USTR","N",1
"USTR3266","USTR93","USTR","N",1
"USTR3281","USTR94","USTR","N",1
"USTR3327","USTR95","USTR","N",1
"USTR3329","USTR206","USTR","N",1
"USTR3369","USTR99","USTR","N",1
"USTR3617","USTR304","USTR","N",1
"USTR3618","USTR104","USTR","N",1
"USTR3716","USTR106","USTR","N",1
"USTR3717","USTR107","USTR","N",1
"USTR3773","USTR111","USTR","N",1
"USTR3774","USTR112","USTR","N",1
"USTR3841","USTR114","USTR","N",1
"USTR3845","USTR115","USTR","N",1
"USTR3865","USTR116","USTR","N",1
"USTR3871","USTR117","USTR","N",1
"USTR3906","USTR119","USTR","N",1
"USTR3908","USTR120","USTR","N",1
"USTR3911","USTR121","USTR","N",1
"USTR3915","USTR118","USTR","N",1
"USTR3919","USTR297","USTR","N",1
"USTR3920","USTR174","USTR","N",1
"USTR3972","USTR124","USTR","N",1
"USTR4089","USTR131","USTR","N",1
"USTR4090","USTR132","USTR","N",1
"USTR4091","USTR133","USTR","N",1
"USTR4115","USTR134","USTR","N",1
"USTR4142","USTR135","USTR","N",1
"USTR4264","USTR142","USTR","N",1
"USTR4265","USTR141","USTR","N",1
"USTR4294","USTR144","USTR","N",1
"USTR4305","USTR146","USTR","N",1
"USTR4306","USTR145","USTR","N",1
"USTR4327","USTR147","USTR","N",1
"USTR4378","USTR176","USTR","N",1
"USTR4405","USTR155","USTR","N",1
"USTR4412","USTR161","USTR","N",1
"USTR4419","USTR158","USTR","N",1
"USTR10001","USTR136","USTR","N",1
"USTR10002","USTR138","USTR","N",1
"USTR10006","USTR163","USTR","N",1
"USTR11000","USTR137","USTR","N",1
"USTR100960","USTR201","USTR","N",1
"USTR102857","USTR310","USTR","N",1
"USTR105339","USTR305","USTR","N",1
"USTR107190","USTR287","USTR","N",1
"USTR109433","USTR218","USTR","N",1
"USTR109553","USTR225","USTR","N",1
"USTR111505","USTR247","USTR","N",1
"USTR111970","USTR251","USTR","N",1
"USTR113205","USTR302","USTR","N",1
"USTR117075","USTR192","USTR","N",1
"USTR117383","USTR246","USTR","N",1
"USTR117740","USTR296","USTR","N",1
"USTR117889","USTR309","USTR","N",1
"USTR118454","USTR214","USTR","N",1
"USTR118704","USTR184","USTR","N",1
"USTR119230","USTR242","USTR","N",1
"USTR119248","USTR301","USTR","N",1
"USTR124648","USTR221","USTR","N",1
"USTR125580","USTR241","USTR","N",1
"USTR125587","USTR229","USTR","N",1
"USTR126950","USTR272","USTR","N",1
"USTR126967","USTR231","USTR","N",1
"USTR127319","USTR295","USTR","N",1
"USTR129577","USTR171","USTR","N",1
"USTR130625","USTR195","USTR","N",1
"USTR130951","USTR303","USTR","N",1
"USTR132835","USTR202","USTR","N",1
"USTR132853","USTR294","USTR","N",1
"USTR134322","USTR280","USTR","N",1
"USTR137996","USTR226","USTR","N",1
"USTR140702","USTR170","USTR","N",1
"USTR140989","USTR203","USTR","N",1
"USTR141082","USTR279","USTR","N",1
"USTR141116","USTR216","USTR","N",1
"USTR142736","USTR239","USTR","N",1
"USTR143502","USTR316","USTR","N",1
"USTR143952","USTR291","USTR","N",1
"USTR144831","USTR277","USTR","N",1
"USTR145021","USTR274","USTR","N",1
"USTR146479","USTR196","USTR","N",1
"USTR147439","USTR281","USTR","N",1
"USTR149130","USTR244","USTR","N",1
"USTR150269","USTR311","USTR","N",1
"USTR151582","USTR224","USTR","N",1
