ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,EquityFlag,TaxType,BenchmarkFlag,PerformanceType,Description,MTD,QTD,YTD,PriorYear,PriorTwoYear,PriorThreeYear,PriorFourYear,PriorFiveYear,PriorSevenYear,PriorTenYear,CYPriorYear,CYPriorTwoYear,CYPriorThreeYear,CYPriorFourYear,CYPriorFiveYear,CYPriorSixYear,CYPriorSevenYear,CYPriorEightYear,CYPriorNineYear,CYPriorTenYear,CYPriorElevenYear,CYPriorTwelveYear,SinceInceptionReturn,InceptionDate,ValueAdded,Risk,TrackingError,InfoRatio,PriorThreeMonth,PriorSixMonth,PriorNineMonth
"USTR10001","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.49,0.72,-2.28,-2.28,5.32,8.43,5.51,6.02,0.00,0.00,,,,,,,,,,,,,-2.28,"2015-04-07",,,,,,,
"USTR10001","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.49,0.72,-2.28,-2.54,4.89,8.16,5.24,5.77,0.00,0.00,,,,,,,,,,,,,-2.28,"2015-04-07",,,,,,,
"USTR10002","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.53,0.72,-2.26,-2.26,4.52,7.43,4.94,5.33,0.00,0.00,,,,,,,,,,,,,-2.26,"2015-05-07",,,,,,,
"USTR10002","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.53,0.72,-2.26,-2.44,4.46,7.41,4.87,5.25,0.00,0.00,,,,,,,,,,,,,-2.26,"2015-05-07",,,,,,,
"USTR10006","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.32,0.42,-1.99,-1.99,4.77,7.43,5.02,5.33,0.00,0.00,,,,,,,,,,,,,-1.99,"2016-02-02",,,,,,,
"USTR10006","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.32,0.42,-1.99,-2.13,4.44,7.18,4.75,5.11,0.00,0.00,,,,,,,,,,,,,-1.99,"2016-02-02",,,,,,,
"USTR100960","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.56,0.47,5.39,5.39,3.54,6.92,0.00,0.00,0.00,0.00,,,,,,,,,,,,,5.39,"2017-12-12",,,,,,,
"USTR100960","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.56,0.47,5.39,5.28,6.19,8.83,0.00,0.00,0.00,0.00,,,,,,,,,,,,,5.39,"2017-12-12",,,,,,,
"USTR1025","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.27,0.32,,,,,,,,,,,,,0.00,"2006-11-02",,,,,,,
"USTR1025","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.00,0.00,0.00,-0.60,1.26,2.03,1.91,1.61,1.35,1.16,,,,,,,,,,,,,0.00,"2006-11-02",,,,,,,
"USTR102857","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.89,2.84,-5.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-5.90,"2019-04-01",,,,,,,
"USTR102857","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.89,2.84,-5.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-5.90,"2019-04-01",,,,,,,
"USTR105339","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-10-31",,,,,,,
"USTR105339","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-10-31",,,,,,,
"USTR1055","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.19,0.08,-1.43,-1.43,4.00,6.43,4.55,4.69,3.99,3.36,,,,,,,,,,,,,-1.43,"2013-12-31",,,,,,,
"USTR1055","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.19,0.08,-1.43,-1.71,3.82,6.12,4.24,4.41,3.74,3.11,,,,,,,,,,,,,-1.43,"2013-12-31",,,,,,,
"USTR107190","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.11,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-01-22",,,,,,,
"USTR107190","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.11,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-01-22",,,,,,,
"USTR109433","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.35,0.33,4.68,4.68,3.70,7.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,,4.68,"2018-02-14",,,,,,,
"USTR109433","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.35,0.33,4.68,5.28,6.19,8.83,0.00,0.00,0.00,0.00,,,,,,,,,,,,,4.68,"2018-02-14",,,,,,,
"USTR109553","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-1.38,3.03,-4.78,-4.78,5.78,8.67,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-4.78,"2018-09-28",,,,,,,
"USTR109553","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-1.38,3.03,-4.78,-4.57,5.91,8.78,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-4.78,"2018-09-28",,,,,,,
"USTR11000","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.23,0.21,0.23,0.23,4.06,5.78,4.35,4.38,0.00,0.00,,,,,,,,,,,,,0.23,"2015-04-28",,,,,,,
"USTR11000","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.23,0.21,0.23,-1.54,2.88,4.79,3.58,3.57,0.00,0.00,,,,,,,,,,,,,0.23,"2015-04-28",,,,,,,
"USTR111505","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.25,0.12,-0.34,-0.34,3.93,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-0.34,"2019-02-28",,,,,,,
"USTR111505","2021-12-31","N","USTR",2,,,"N","Gross Total Return","Total Return",-0.25,0.12,-0.34,-0.34,3.93,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-0.34,"2019-02-28",,,,,,,
"USTR111505","2021-12-31","N","USTR",3,,,"N","Gross Total Return","Total Return",-0.25,0.12,-0.34,-0.34,3.93,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-0.34,"2019-02-28",,,,,,,
"USTR111505","2021-12-31","N","USTR",4,,,"N","Gross Total Return","Total Return",-0.25,0.12,-0.34,-0.34,3.93,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-0.34,"2019-02-28",,,,,,,
"USTR111505","2021-12-31","N","USTR",5,,,"Y","Gross Total Return","Total Return",-0.25,0.12,-0.34,-1.54,2.88,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-0.34,"2019-02-28",,,,,,,
"USTR111970","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.91,1.57,-3.14,-3.14,6.82,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-3.14,"2019-04-15",,,,,,,
"USTR111970","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.91,1.57,-3.14,-3.16,5.97,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-3.14,"2019-04-15",,,,,,,
"USTR113205","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.91,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-08-31",,,,,,,
"USTR113205","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.91,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-08-31",,,,,,,
"USTR117075","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.22,0.20,-0.02,-0.02,4.18,5.93,4.45,0.00,0.00,0.00,,,,,,,,,,,,,-0.02,"2017-06-19",,,,,,,
"USTR117075","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.22,0.20,-0.02,-1.54,2.88,4.79,3.58,0.00,0.00,0.00,,,,,,,,,,,,,-0.02,"2017-06-19",,,,,,,
"USTR117383","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.24,0.11,-0.45,-0.45,3.92,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-0.45,"2019-02-28",,,,,,,
"USTR117383","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.24,0.11,-0.45,-1.54,2.88,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-0.45,"2019-02-28",,,,,,,
"USTR117740","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.11,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-03-31",,,,,,,
"USTR117740","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.11,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-03-31",,,,,,,
"USTR117889","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-11-22",,,,,,,
"USTR117889","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-11-22",,,,,,,
"USTR118454","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.55,0.67,-2.69,-2.69,5.53,8.43,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-2.69,"2018-03-14",,,,,,,
"USTR118454","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.55,0.67,-2.69,-2.61,5.12,8.21,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-2.69,"2018-03-14",,,,,,,
"USTR118704","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.07,-0.06,1.92,1.92,2.70,3.82,3.35,0.00,0.00,0.00,,,,,,,,,,,,,1.92,"2017-01-23",,,,,,,
"USTR118704","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.07,-0.06,1.92,-0.47,1.41,2.28,2.11,0.00,0.00,0.00,,,,,,,,,,,,,1.92,"2017-01-23",,,,,,,
"USTR119230","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.76,1.09,-2.76,-2.76,6.40,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-2.76,"2019-02-12",,,,,,,
"USTR119230","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.76,1.09,-2.76,-2.81,5.49,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-2.76,"2019-02-12",,,,,,,
"USTR119248","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.78,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-09-20",,,,,,,
"USTR119248","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.78,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-09-20",,,,,,,
"USTR124648","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.11,-0.32,-1.21,-1.21,3.27,5.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-1.21,"2018-07-18",,,,,,,
"USTR124648","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.11,-0.32,-1.21,-1.44,2.42,3.86,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-1.21,"2018-07-18",,,,,,,
"USTR125580","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.74,1.55,-2.97,-2.97,5.68,8.86,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-2.97,"2018-12-31",,,,,,,
"USTR125580","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.74,1.55,-2.97,-2.97,5.68,8.86,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-2.97,"2018-12-31",,,,,,,
"USTR125587","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.52,0.71,-2.33,-2.33,5.11,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-2.33,"2018-12-27",,,,,,,
"USTR125587","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.52,0.71,-2.33,-2.44,4.90,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-2.33,"2018-12-27",,,,,,,
"USTR126950","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.56,0.77,-2.32,-2.32,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-2.32,"2019-12-30",,,,,,,
"USTR126950","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.56,0.77,-2.32,-2.47,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-2.32,"2019-12-30",,,,,,,
"USTR126967","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.06,-0.05,1.52,1.52,2.85,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,1.52,"2019-01-04",,,,,,,
"USTR126967","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.06,-0.05,1.52,-0.47,1.41,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,1.52,"2019-01-04",,,,,,,
"USTR127319","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.25,0.31,0.30,0.27,2.70,4.97,3.73,0.00,0.00,0.00,,,,,,,,,,,,,0.30,"2017-09-30",,,,,,,
"USTR127319","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.25,0.31,0.30,-1.54,2.88,4.79,3.58,0.00,0.00,0.00,,,,,,,,,,,,,0.30,"2017-09-30",,,,,,,
"USTR1282","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.13,0.38,1.51,1.51,5.08,5.58,4.49,4.05,3.38,2.96,,,,,,,,,,,,,1.51,"2013-12-31",,,,,,,
"USTR1282","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.13,0.38,1.51,-2.16,2.63,3.88,3.24,2.99,2.53,2.09,,,,,,,,,,,,,1.51,"2013-12-31",,,,,,,
"USTR1294","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.35,0.26,-1.66,-1.66,3.34,5.61,4.01,4.04,3.34,3.31,,,,,,,,,,,,,-1.66,"2007-07-18",,,,,,,
"USTR1294","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.35,0.26,-1.66,-1.75,3.45,5.50,3.99,3.99,3.30,3.13,,,,,,,,,,,,,-1.66,"2007-07-18",,,,,,,
"USTR129577","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.57,0.78,-2.36,-2.36,5.90,8.56,5.75,6.14,0.00,0.00,,,,,,,,,,,,,-2.36,"2016-08-05",,,,,,,
"USTR129577","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.57,0.78,-2.36,-2.59,4.99,7.97,5.18,5.72,0.00,0.00,,,,,,,,,,,,,-2.36,"2016-08-05",,,,,,,
"USTR130625","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.82,1.32,-3.16,-3.16,6.05,9.24,5.95,0.00,0.00,0.00,,,,,,,,,,,,,-3.16,"2017-11-21",,,,,,,
"USTR130625","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.82,1.32,-3.16,-3.24,5.66,8.90,5.63,0.00,0.00,0.00,,,,,,,,,,,,,-3.16,"2017-11-21",,,,,,,
"USTR130951","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-10-25",,,,,,,
"USTR130951","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-10-25",,,,,,,
"USTR132835","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.20,0.10,-1.43,-1.43,4.03,6.65,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-1.43,"2018-01-16",,,,,,,
"USTR132835","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.20,0.10,-1.43,-1.78,4.01,6.46,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-1.43,"2018-01-16",,,,,,,
"USTR132853","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.05,-0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-05-24",,,,,,,
"USTR132853","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.05,-0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-05-24",,,,,,,
"USTR134322","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.15,0.05,4.73,4.73,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,4.73,"2020-03-27",,,,,,,
"USTR134322","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.15,0.05,4.73,-0.47,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,4.73,"2020-03-27",,,,,,,
"USTR137996","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.77,1.04,-3.23,-3.23,5.33,8.56,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-3.23,"2018-11-13",,,,,,,
"USTR137996","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.77,1.04,-3.23,-2.82,5.45,8.60,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-3.23,"2018-11-13",,,,,,,
"USTR140702","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.71,0.93,-2.55,-2.55,4.70,7.57,5.00,5.37,0.00,0.00,,,,,,,,,,,,,-2.55,"2016-02-01",,,,,,,
"USTR140702","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.71,0.93,-2.55,-2.59,4.39,7.33,4.75,5.17,0.00,0.00,,,,,,,,,,,,,-2.55,"2016-02-01",,,,,,,
"USTR140989","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.27,0.24,-1.41,-1.41,4.45,7.18,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-1.41,"2018-01-16",,,,,,,
"USTR140989","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.27,0.24,-1.41,-1.92,4.38,7.03,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-1.41,"2018-01-16",,,,,,,
"USTR1410","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.05,-0.53,-0.93,-0.93,2.51,4.11,3.26,3.21,2.81,2.71,,,,,,,,,,,,,-0.93,"2007-08-20",,,,,,,
"USTR1410","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.05,-0.53,-0.93,-1.44,2.42,3.86,3.11,2.91,2.53,2.38,,,,,,,,,,,,,-0.93,"2007-08-20",,,,,,,
"USTR141082","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.58,0.74,-2.62,-2.62,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-2.62,"2020-03-18",,,,,,,
"USTR141082","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.58,0.74,-2.62,-2.56,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-2.62,"2020-03-18",,,,,,,
"USTR141116","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.73,1.15,-2.99,-2.99,5.51,8.49,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-2.99,"2018-03-15",,,,,,,
"USTR141116","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.73,1.15,-2.99,-2.77,5.37,8.36,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-2.99,"2018-03-15",,,,,,,
"USTR142736","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.02,-0.19,2.41,2.41,3.38,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,2.41,"2019-01-25",,,,,,,
"USTR142736","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.02,-0.19,2.41,-0.47,1.41,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,2.41,"2019-01-25",,,,,,,
"USTR143952","2021-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.28,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-04-15",,,,,,,
"USTR143952","2021-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.28,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,"2021-04-15",,,,,,,
