ProductID,ProductName,LineofBusinessCode,AdhocFlag
"USTR20","HILL-A","USTR","N"
"USTR69","DVIT","USTR","N"
"USTR70","DVWCT","USTR","N"
"USTR72","UFCW-A","USTR","N"
"USTR76","PAWCSF","USTR","N"
"USTR81","EXCO","USTR","N"
"USTR89","KUEA","USTR","N"
"USTR95","WPP-A","USTR","N"
"USTR205","NYL-TIP","USTR","N"
"USTR303","MC-DBP","USTR","N"
"USTR346","BLADE","USTR","N"
"USTR402","MACON-A","USTR","N"
"USTR415","BCH-NT","USTR","N"
"USTR416","BCH-TIPS","USTR","N"
"USTR486","DVHIT","USTR","N"
"USTR683","UNM-A","USTR","N"
"USTR765","BCH-RI","USTR","N"
"USTR855","UNM-H","USTR","N"
"USTR908","DOC-A","USTR","N"
"USTR999","INOE-A","USTR","N"
"USTR1025","TLOC-A","USTR","N"
"USTR1055","PA-TIP","USTR","N"
"USTR1294","SM-A","USTR","N"
"USTR1410","PAUSTIF","USTR","N"
"USTR1549","ALA","USTR","N"
"USTR1590","NECA","USTR","N"
"USTR1617","DECATUR","USTR","N"
"USTR1708","JKNOX","USTR","N"
"USTR1709","MARITZ","USTR","N"
"USTR1710","GENESIS","USTR","N"
"USTR1717","MIDTOWN","USTR","N"
"USTR1728","GROTON","USTR","N"
"USTR2071","LUZERNE","USTR","N"
"USTR2139","SIBLEY","USTR","N"
"USTR2152","NEEWBF","USTR","N"
"USTR2157","KINKAID","USTR","N"
"USTR2179","HILL-CA","USTR","N"
"USTR2180","UWAY","USTR","N"
"USTR2181","BAKERY","USTR","N"
"USTR2243","IRONNW","USTR","N"
"USTR2245","IRONDC","USTR","N"
"USTR2249","DEVRO","USTR","N"
"USTR2309","CHEPIP","USTR","N"
"USTR2319","SIFMA","USTR","N"
"USTR2393","SHAGG","USTR","N"
"USTR2517","SHF","USTR","N"
"USTR2543","LASALLE","USTR","N"
"USTR2693","WASH","USTR","N"
"USTR2764","SHMDS","USTR","N"
"USTR2767","CPIPE","USTR","N"
"USTR2855","MIDHY","USTR","N"
"USTR2861","BIO","USTR","N"
"USTR2892","OWENS","USTR","N"
"USTR2911","OWENSG","USTR","N"
"USTR2922","DOC-G","USTR","N"
"USTR2995","NORTH","USTR","N"
"USTR3010","PAN","USTR","N"
"USTR3083","HILL-FL","USTR","N"
"USTR3093","COLUMBIA","USTR","N"
"USTR3219","UMASS","USTR","N"
"USTR3230","GWINNETT","USTR","N"
"USTR3327","NFLPA","USTR","N"
"USTR3369","AMERICAN","USTR","N"
"USTR3618","MAZDA","USTR","N"
"USTR3699","GREER","USTR","N"
"USTR3716","LEAR","USTR","N"
"USTR3717","MAN","USTR","N"
"USTR3773","LIND","USTR","N"
"USTR3774","LSAP","USTR","N"
"USTR3841","HICKORY","USTR","N"
"USTR3845","GMP","USTR","N"
"USTR3865","BLUENC","USTR","N"
"USTR3871","NWSHEET","USTR","N"
"USTR3906","TUNANN","USTR","N"
"USTR3908","TUNRET","USTR","N"
"USTR3911","PSOLVE","USTR","N"
"USTR3915","TURKS","USTR","N"
"USTR3920","CARDONE","USTR","N"
"USTR4048","ROGDBP","USTR","N"
"USTR4049","ROGEBP","USTR","N"
"USTR4079","TRAVEL","USTR","N"
"USTR4089","D9PEN","USTR","N"
"USTR4090","D9WEL","USTR","N"
"USTR4091","LOCAL142","USTR","N"
"USTR4115","GASHER","USTR","N"
"USTR4142","XCEL","USTR","N"
"USTR4264","ALISAL","USTR","N"
"USTR4265","ALIHOUR","USTR","N"
"USTR4266","MAHER","USTR","N"
"USTR4294","EPPERSON","USTR","N"
"USTR4305","OEAMGMT","USTR","N"
"USTR4306","OEAUNION","USTR","N"
"USTR4327","HITMETAL","USTR","N"
"USTR4372","IRONHS","USTR","N"
