EntityId,EntityName,LineofBusinessCode,AdhocFlag,EntityType,RelationshipManager,ContactPhone,RegionLocale,Language,ShowConsolidatedHoldingsPage,ConsultantId,ConsultantName
"ADCARE","Adventist Healthcare Inc.","USTR","N",,,,,,,"USTR12","UBS"
"ADSHORT","Adventist Healthcare Short ","USTR","N",,,,,,,"USTR12","UBS"
"AGMEN","Universidad Ana G Mendez Endowment Fund","USTR","N",,,,,,,"USTR12","UBS"
"ALA","American Lung Association Pension Plan","USTR","N",,,,,,,"USTR4","Fiducient"
"ALIHOUR","Allison Transmission Hourly Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"ALISAL","Allison Transmission Salaried Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"AMERICAN","American & Efird","USTR","N",,,,,,,"USTR0","Other"
"AOC","American Optical Corp Retirement Plan","USTR","N",,,,,,,"USTR4","Fiducient"
"BAKERY","Bakery and Confectionery Workers Local 53","USTR","N",,,,,,,"USTR28","Madison CG"
"BCH-ES","BayCare Escrow Account","USTR","N",,,,,,,"USTR18","Wilshire (P)"
"BCH-NT","BayCare Health","USTR","N",,,,,,,"USTR18","Wilshire (P)"
"BCH-RI","BayCare Health Reinsurance","USTR","N",,,,,,,"USTR18","Wilshire (P)"
"BCH-TIPS","BayCare Health Tips","USTR","N",,,,,,,"USTR18","Wilshire (P)"
"BIO","bioMerieux","USTR","N",,,,,,,"USTR0","Other"
"BLADE","Toledo Blade Pension","USTR","N",,,,,,,"USTR39","Segal"
"BLUENC","Blue Cross Blue Shield of North Carolina","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"CARDONE","Cardone Industries","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"CBIS","CBIS - Christian Brothers Investment Services","USTR","N",,,,,,,"USTR0","Other"
"CHEPIP","St. Joseph's Hospital ERISA","USTR","N",,,,,,,"USTR0","Other"
"CLOPAY","Clopay Ames True Temper","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"COLUMBIA","City of Columbia","USTR","N",,,,,,,"USTR12","UBS"
"CPIPE","Charlotte Pipe & Foundry","USTR","N",,,,,,,"USTR0","Other"
"CWF","California Wildfire Fund","USTR","N",,,,,,,"USTR9","Raymond James"
"CWROLLED","Commonwealth Rolled Products","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"D9PEN","District 9 Pension Plan","USTR","N",,,,,,,"USTR37","ICS"
"D9WEL","District 9 Welfare Plan","USTR","N",,,,,,,"USTR37","ICS"
"DECATUR","Decatur, Georgia","USTR","N",,,,,,,"USTR7","BB&T"
"DELTA","Delta Dental of New Jersey, Inc. Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"DEVRO","Devro Employee Pension Plan","USTR","N",,,,,,,"USTR30","Prime Trust"
"DOC-A","Verity Health System Gov/Credit Long Assets","USTR","N",,,,,,,"USTR43","Wilshire (L)"
"DOC-G","Verity Health System Treasury 20+ Yrs Assets","USTR","N",,,,,,,"USTR43","Wilshire (L)"
"DVHIT","Delaware Valley Health Insurance Trust","USTR","N",,,,,,,"USTR46","Concord Advisory"
"DVIT","Delaware Valley Insurance Trust","USTR","N",,,,,,,"USTR46","Concord Advisory"
"DVWCT","Delaware Valley Workers Compensation Trust","USTR","N",,,,,,,"USTR46","Concord Advisory"
"ENGLWOOD","Englewood Hospital","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"EPPERSON","U.S. Epperson","USTR","N",,,,,,,"USTR0","Other"
"ESCPEN","Northeast Carpenters Pension Plan","USTR","N",,,,,,,"USTR22","Gallagher"
"ESCWEL","Northeast Carpenters Welfare Plan","USTR","N",,,,,,,"USTR42","IPS"
"EXCO","Exco Noonan","USTR","N",,,,,,,"USTR3","Bellwether"
"FOURTHED","Fourth Edition Inc. Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"GASHER","Georgia Sheriffs Retirement Fund","USTR","N",,,,,,,"USTR12","UBS"
"GEAP","GE Appliances Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"GENESIS","Genesis Healthcare Systems","USTR","N",,,,,,,"USTR35","Marquette"
"GMASON","George Mason University","USTR","N",,,,,,,"USTR12","UBS"
"GMP","Green Mountain Power","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"GONNELLA","Gonnella Pension Plan","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"GREER","Greer Industries","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"GROCERS","C&S Wholesale Grocers, Inc. Consolidated Pension Plan","USTR","N",,,,,,,"USTR9","Raymond James"
"GROTON","Groton, CT, City of","USTR","N",,,,,,,"USTR27","GYL Financial Strategies"
"GTSAL","Greene, Tweed, & Co. Salaried Pension Plan","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"GTSERV","Greene Tweed Services","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"GTUNION","Greene Tweed Union","USTR","N",,,,,,,"USTR13","CapTrust (R)"
"GWINNETT","Gwinnett County","USTR","N",,,,,,,"USTR12","UBS"
"HENPEN","HENNY PENNY CORPORATION EMPLOYEES PENSION PLAN","USTR","N",,,,,,,"USTR17","Morgan Stanley"
"HI-TIPS","Hawaii Employee Retirement System TIPS","USTR","N",,,,,,,"USTR0","Other"
