ProductID,EntityId,LineofBusinessCode,AdhocFlag,SortOrder
"USTR20","USTR10","USTR","N",1
"USTR20","USTR10","USTR","N",2
"USTR64","USTR11","USTR","N",1
"USTR64","USTR11","USTR","N",2
"USTR69","USTR12","USTR","N",1
"USTR69","USTR12","USTR","N",2
"USTR70","USTR13","USTR","N",1
"USTR70","USTR13","USTR","N",2
"USTR72","USTR9","USTR","N",1
"USTR72","USTR9","USTR","N",2
"USTR76","USTR8","USTR","N",1
"USTR76","USTR8","USTR","N",2
"USTR81","USTR6","USTR","N",1
"USTR81","USTR6","USTR","N",2
"USTR89","USTR14","USTR","N",1
"USTR89","USTR14","USTR","N",2
"USTR95","USTR5","USTR","N",1
"USTR95","USTR5","USTR","N",2
"USTR205","USTR15","USTR","N",1
"USTR205","USTR15","USTR","N",2
"USTR303","USTR16","USTR","N",1
"USTR303","USTR16","USTR","N",2
"USTR346","USTR17","USTR","N",1
"USTR346","USTR17","USTR","N",2
"USTR402","USTR18","USTR","N",1
"USTR402","USTR18","USTR","N",2
"USTR415","USTR19","USTR","N",1
"USTR415","USTR19","USTR","N",2
"USTR416","USTR20","USTR","N",1
"USTR416","USTR20","USTR","N",2
"USTR486","USTR21","USTR","N",1
"USTR486","USTR21","USTR","N",2
"USTR683","USTR22","USTR","N",1
"USTR683","USTR22","USTR","N",2
"USTR765","USTR23","USTR","N",1
"USTR765","USTR23","USTR","N",2
"USTR855","USTR24","USTR","N",1
"USTR855","USTR24","USTR","N",2
"USTR908","USTR25","USTR","N",1
"USTR908","USTR25","USTR","N",2
"USTR941","USTR253","USTR","N",1
"USTR941","USTR253","USTR","N",2
"USTR953","USTR254","USTR","N",1
"USTR953","USTR254","USTR","N",2
"USTR958","USTR262","USTR","N",1
"USTR958","USTR262","USTR","N",2
"USTR999","USTR26","USTR","N",1
"USTR999","USTR26","USTR","N",2
"USTR1025","USTR27","USTR","N",1
"USTR1025","USTR27","USTR","N",2
"USTR1055","USTR28","USTR","N",1
"USTR1055","USTR28","USTR","N",2
"USTR1224","USTR299","USTR","N",1
"USTR1224","USTR299","USTR","N",2
"USTR1294","USTR32","USTR","N",1
"USTR1294","USTR32","USTR","N",2
"USTR1410","USTR33","USTR","N",1
"USTR1410","USTR33","USTR","N",2
"USTR1549","USTR35","USTR","N",1
"USTR1549","USTR35","USTR","N",2
"USTR1590","USTR36","USTR","N",1
"USTR1590","USTR36","USTR","N",2
"USTR1617","USTR37","USTR","N",1
"USTR1617","USTR37","USTR","N",2
"USTR1708","USTR40","USTR","N",1
"USTR1708","USTR40","USTR","N",2
"USTR1709","USTR38","USTR","N",1
"USTR1709","USTR38","USTR","N",2
"USTR1710","USTR39","USTR","N",1
"USTR1710","USTR39","USTR","N",2
"USTR1717","USTR41","USTR","N",1
"USTR1717","USTR41","USTR","N",2
"USTR1728","USTR42","USTR","N",1
"USTR1728","USTR42","USTR","N",2
"USTR2071","USTR44","USTR","N",1
"USTR2071","USTR44","USTR","N",2
"USTR2139","USTR46","USTR","N",1
"USTR2139","USTR46","USTR","N",2
"USTR2152","USTR47","USTR","N",1
"USTR2152","USTR47","USTR","N",2
"USTR2157","USTR49","USTR","N",1
"USTR2157","USTR49","USTR","N",2
"USTR2179","USTR50","USTR","N",1
"USTR2179","USTR50","USTR","N",2
"USTR2180","USTR52","USTR","N",1
"USTR2180","USTR52","USTR","N",2
"USTR2181","USTR53","USTR","N",1
"USTR2181","USTR53","USTR","N",2
"USTR2183","USTR51","USTR","N",1
"USTR2183","USTR51","USTR","N",2
"USTR2243","USTR55","USTR","N",1
"USTR2243","USTR55","USTR","N",2
"USTR2245","USTR54","USTR","N",1
"USTR2245","USTR54","USTR","N",2
"USTR2249","USTR56","USTR","N",1
"USTR2249","USTR56","USTR","N",2
"USTR2293","USTR259","USTR","N",1
"USTR2293","USTR259","USTR","N",2
"USTR2309","USTR57","USTR","N",1
"USTR2309","USTR57","USTR","N",2
"USTR2319","USTR58","USTR","N",1
"USTR2319","USTR58","USTR","N",2
"USTR2393","USTR59","USTR","N",1
"USTR2393","USTR59","USTR","N",2
"USTR2435","USTR255","USTR","N",1
"USTR2435","USTR255","USTR","N",2
"USTR2437","USTR260","USTR","N",1
"USTR2437","USTR260","USTR","N",2
"USTR2517","USTR62","USTR","N",1
"USTR2517","USTR62","USTR","N",2
"USTR2543","USTR64","USTR","N",1
"USTR2543","USTR64","USTR","N",2
"USTR2616","USTR66","USTR","N",1
"USTR2616","USTR66","USTR","N",2
"USTR2628","USTR67","USTR","N",1
"USTR2628","USTR67","USTR","N",2
"USTR2693","USTR68","USTR","N",1
"USTR2693","USTR68","USTR","N",2
"USTR2764","USTR70","USTR","N",1
"USTR2764","USTR70","USTR","N",2
"USTR2767","USTR71","USTR","N",1
"USTR2767","USTR71","USTR","N",2
"USTR2855","USTR75","USTR","N",1
"USTR2855","USTR75","USTR","N",2
"USTR2892","USTR79","USTR","N",1
"USTR2892","USTR79","USTR","N",2
"USTR2897","USTR273","USTR","N",1
"USTR2897","USTR273","USTR","N",2
"USTR2911","USTR80","USTR","N",1
"USTR2911","USTR80","USTR","N",2
"USTR2912","USTR151","USTR","N",1
"USTR2912","USTR151","USTR","N",2
"USTR2922","USTR74","USTR","N",1
"USTR2922","USTR74","USTR","N",2
"USTR2941","USTR149","USTR","N",1
"USTR2941","USTR149","USTR","N",2
"USTR2991","USTR261","USTR","N",1
"USTR2991","USTR261","USTR","N",2
"USTR2995","USTR82","USTR","N",1
"USTR2995","USTR82","USTR","N",2
"USTR3010","USTR83","USTR","N",1
"USTR3010","USTR83","USTR","N",2
