EntityId, EntityName, LineofBusinessCode, AdhocFlag, EntityType, RelationshipManager, ContactPhone, RegionLocale, Language, ShowConsolidatedHoldingsPage, 
"USTR5", "Wheaton Police Pension Plan", "USTR", "N", , , , , , , 
"USTR6", "Exco Noonan", "USTR", "N", , , , , , , 
"USTR8", "Pennsylvania Workers Compensation Fund", "USTR", "N", , , , , , , 
"USTR9", "UFCW Tri-State Pension Fund", "USTR", "N", , , , , , , 
"USTR10", "Hillsdale College Non FL CA", "USTR", "N", , , , , , , 
"USTR11", "Orlando Health", "USTR", "N", , , , , , , 
"USTR12", "Delaware Valley Insurance Trust", "USTR", "N", , , , , , , 
"USTR13", "Delaware Valley Workers Compensation Trust", "USTR", "N", , , , , , , 
"USTR14", "Kansas University Endowment", "USTR", "N", , , , , , , 
"USTR15", "New York Life", "USTR", "N", , , , , , , 
"USTR16", "Mississippi College Defined Benefit Plan", "USTR", "N", , , , , , , 
"USTR17", "Toledo Blade Pension", "USTR", "N", , , , , , , 
"USTR18", "Macon Georgia Fire and Police", "USTR", "N", , , , , , , 
"USTR19", "BayCare Health", "USTR", "N", , , , , , , 
"USTR20", "BayCare Health Tips", "USTR", "N", , , , , , , 
"USTR21", "Delaware Valley Health Insurance Trust", "USTR", "N", , , , , , , 
"USTR22", "University of New Mexico General Operating", "USTR", "N", , , , , , , 
"USTR23", "BayCare Health Reinsurance", "USTR", "N", , , , , , , 
"USTR24", "University of New Mexico Hospital", "USTR", "N", , , , , , , 
"USTR25", "Verity Health System Gov/Credit Long Assets", "USTR", "N", , , , , , , 
"USTR26", "Local 94 International Union of Operating Engineers", "USTR", "N", , , , , , , 
"USTR27", "Teamsters Local 641 Pension Plan", "USTR", "N", , , , , , , 
"USTR28", "Pennsylvania SWIF", "USTR", "N", , , , , , , 
"USTR32", "Cooperativa Seguros Multiples", "USTR", "N", , , , , , , 
"USTR33", "Pennsylvania USTIF", "USTR", "N", , , , , , , 
"USTR35", "American Lung Association Pension Plan", "USTR", "N", , , , , , , 
"USTR36", "National Electrical Contractors Association", "USTR", "N", , , , , , , 
"USTR37", "Decatur, Georgia", "USTR", "N", , , , , , , 
"USTR38", "Maritz Inc", "USTR", "N", , , , , , , 
"USTR39", "Genesis Healthcare Systems", "USTR", "N", , , , , , , 
"USTR40", "John Knox Village of Tampa Bay", "USTR", "N", , , , , , , 
"USTR41", "Middletown, CT Pension Plan - Investment Grade", "USTR", "N", , , , , , , 
"USTR42", "Groton, CT, City of", "USTR", "N", , , , , , , 
"USTR44", "Luzerne County, PA Assets", "USTR", "N", , , , , , , 
"USTR46", "Sibley Memorial Hospital Pension Trust Fund", "USTR", "N", , , , , , , 
"USTR47", "New England Electrical Workers Benefit Fund", "USTR", "N", , , , , , , 
"USTR49", "Kinkaid School", "USTR", "N", , , , , , , 
"USTR50", "Hillsdale College CA Annuity", "USTR", "N", , , , , , , 
"USTR51", "Trimas Corporation Retirement Trust", "USTR", "N", , , , , , , 
"USTR52", "United Way of Dayton", "USTR", "N", , , , , , , 
"USTR53", "Bakery and Confectionery Workers Local 53", "USTR", "N", , , , , , , 
"USTR54", "Northwest Ironworkers Retirement Trust", "USTR", "N", , , , , , , 
"USTR55", "Northwest Ironworkers Annuity Trust", "USTR", "N", , , , , , , 
"USTR56", "Devro Employee Pension Plan", "USTR", "N", , , , , , , 
"USTR57", "St. Joseph's Hospital ERISA", "USTR", "N", , , , , , , 
"USTR58", "SIFMA", "USTR", "N", , , , , , , 
"USTR59", "Sibley Memorial Hospital Aggregate Account", "USTR", "N", , , , , , , 
"USTR62", "Sibley Hospital Foundation", "USTR", "N", , , , , , , 
"USTR64", "LaSalle Bristol", "USTR", "N", , , , , , , 
"USTR66", "Teamsters Local 641 Welfare Fund", "USTR", "N", , , , , , , 
"USTR67", "City of Easton Officers' & Employees' Pension Plan", "USTR", "N", , , , , , , 
"USTR68", "Washington Hospital", "USTR", "N", , , , , , , 
"USTR70", "Sibley Memorial Hospital MDS", "USTR", "N", , , , , , , 
"USTR71", "Charlotte Pipe & Foundry", "USTR", "N", , , , , , , 
"USTR74", "Verity Health System Treasury 20+ Yrs Assets", "USTR", "N", , , , , , , 
"USTR75", "Middletown, CT Pension Plan - High Yield", "USTR", "N", , , , , , , 
"USTR79", "Owens Corning Pension Plan Credit Long", "USTR", "N", , , , , , , 
"USTR80", "Owens Corning Pension Plan Government Long", "USTR", "N", , , , , , , 
"USTR82", "Sanford Health - Sanford Bemidji Medical Center", "USTR", "N", , , , , , , 
"USTR83", "Patient Access Network", "USTR", "N", , , , , , , 
"USTR84", "Hillsdale College Florida Gift and Annuity ", "USTR", "N", , , , , , , 
"USTR85", "City of Columbia", "USTR", "N", , , , , , , 
"USTR86", "MAHLE Industries Defined Benefit Plan", "USTR", "N", , , , , , , 
"USTR87", "UMass Medical Pension Plan", "USTR", "N", , , , , , , 
"USTR89", "Gwinnett County", "USTR", "N", , , , , , , 
"USTR91", "United Way of Toledo", "USTR", "N", , , , , , , 
"USTR94", "San Antonio Community Hospital", "USTR", "N", , , , , , , 
"USTR95", "National Football League Players Association", "USTR", "N", , , , , , , 
"USTR98", "Marquette Health Systems Union Active Account", "USTR", "N", , , , , , , 
"USTR99", "American & Efird", "USTR", "N", , , , , , , 
"USTR103", "IBEW Local 456 Health and Welfare", "USTR", "N", , , , , , , 
"USTR104", "Mazda Motor Corp", "USTR", "N", , , , , , , 
"USTR105", "Greer Industries", "USTR", "N", , , , , , , 
"USTR106", "Lear Corporation", "USTR", "N", , , , , , , 
"USTR107", "Mansfield Plumbing", "USTR", "N", , , , , , , 
"USTR109", "St. Francis Hospital Pension", "USTR", "N", , , , , , , 
"USTR110", "St. Francis Hospital CLS", "USTR", "N", , , , , , , 
"USTR111", "LIUNA National Industrial Pension Fund", "USTR", "N", , , , , , , 
"USTR112", "LIUNA Staff & Affiliates Pension Fund", "USTR", "N", , , , , , , 
"USTR114", "HSM Solutions", "USTR", "N", , , , , , , 
"USTR115", "Green Mountain Power", "USTR", "N", , , , , , , 
"USTR116", "Blue Cross Blue Shield of North Carolina", "USTR", "N", , , , , , , 
"USTR117", "Northwest Sheet Metal Workers", "USTR", "N", , , , , , , 
"USTR118", "National Insurance Board of Turks and Caicos", "USTR", "N", , , , , , , 
"USTR119", "Local 147 Tunnel Workers Annuity Fund", "USTR", "N", , , , , , , 
"USTR120", "Local 147 Tunnel Workers Retirement Fund", "USTR", "N", , , , , , , 
"USTR121", "River and Mercantile Fund", "USTR", "N", , , , , , , 
"USTR126", "Rogers Corp Defined Benefit Plan", "USTR", "N", , , , , , , 
"USTR127", "Rogers Corp Employee Pension Plan", "USTR", "N", , , , , , , 
"USTR128", "Travelport Inc.", "USTR", "N", , , , , , , 
"USTR130", "Ryan Labs Core Bond Fund", "USTR", "N", , , , , , , 
"USTR131", "District 9 Pension Plan", "USTR", "N", , , , , , , 
"USTR132", "District 9 Welfare Plan", "USTR", "N", , , , , , , 
"USTR133", "Local 142 Teamsters Health & Welfare Trust", "USTR", "N", , , , , , , 
"USTR134", "Georgia Sheriffs Retirement Fund", "USTR", "N", , , , , , , 
"USTR135", "Xcel Energy Inc.", "USTR", "N", , , , , , , 
"USTR136", "ONeal Steel", "USTR", "N", , , , , , , 
"USTR137", "Tift Regional Medical Center", "USTR", "N", , , , , , , 
"USTR138", "U.S. Silica Company", "USTR", "N", , , , , , , 
"USTR139", "Sharp Electronics Corporation", "USTR", "N", , , , , , , 
"USTR141", "Allison Transmission Hourly Pension Plan", "USTR", "N", , , , , , , 
"USTR142", "Allison Transmission Salaried Pension Plan", "USTR", "N", , , , , , , 
"USTR143", "Maher Terminals LLC", "USTR", "N", , , , , , , 
"USTR144", "U.S. Epperson", "USTR", "N", , , , , , , 
"USTR145", "Ohio Education Association Staff Union Plan", "USTR", "N", , , , , , , 
"USTR146", "Ohio Education Association Management Plan", "USTR", "N", , , , , , , 
"USTR147", "Hitachi Metals", "USTR", "N", , , , , , , 
"USTR149", "Verity Health System Merged Assets", "USTR", "N", , , , , , , 
"USTR151", "Owens Corning Pension Plan Merged Assets", "USTR", "N", , , , , , , 
"USTR154", "Healthwell Foundation", "USTR", "N", , , , , , , 
"USTR155", "Sun Life Public Fixed Income", "USTR", "N", , , , , , , 
"USTR156", "Northeast Carpenters Pension Plan", "USTR", "N", , , , , , , 
"USTR157", "Northeast Carpenters Welfare Plan", "USTR", "N", , , , , , , 
"USTR158", "Idaho Operating Engineers & Employers", "USTR", "N", , , , , , , 
"USTR159", "Northwest Ironworkers Health & Security", "USTR", "N", , , , , , , 
"USTR160", "Knoll Pension Plan (Non-Union)", "USTR", "N", , , , , , , 
"USTR161", "Mercy Medical Center Retirement Plan", "USTR", "N", , , , , , , 
"USTR162", "Clariant Plastics & Coatings Retirement Plan", "USTR", "N", , , , , , , 
"USTR163", "St. Peter’s University Retirement Plan", "USTR", "N", , , , , , , 
"USTR164", "Sun Life Private Fixed Income", "USTR", "N", , , , , , , 
"USTR165", "Sun Life Total (Private + Public)", "USTR", "N", , , , , , , 
"USTR167", "Adventist Healthcare Inc.", "USTR", "N", , , , , , , 
"USTR168", "Middlesex Health System", "USTR", "N", , , , , , , 
"USTR170", "C&S Wholesale Grocers, Inc. Consolidated Pension Plan", "USTR", "N", , , , , , , 
"USTR171", "ISO New England", "USTR", "N", , , , , , , 
"USTR174", "Cardone Industries", "USTR", "N", , , , , , , 
"USTR177", "FairPoint Communications", "USTR", "N", , , , , , , 
"USTR178", "Hawaii Employer-Union Health Benefits Trust Fund", "USTR", "N", , , , , , , 
"USTR179", "New Castle County", "USTR", "N", , , , , , , 
"USTR181", "George Mason University", "USTR", "N", , , , , , , 
"USTR182", "BayCare Escrow Account", "USTR", "N", , , , , , , 
"USTR183", "San Diego County Employees Retirement - Core", "USTR", "N", , , , , , , 
"USTR184", "Adventist Healthcare Short ", "USTR", "N", , , , , , , 
"USTR185", "Knoll Pension Plan for Bargaining Unit Employees", "USTR", "N", , , , , , , 
"USTR186", "Hawaii Employee Retirement System", "USTR", "N", , , , , , , 
"USTR191", "Painters District Council 35 Annuity Fund - Core", "USTR", "N", , , , , , , 
"USTR192", "Painters District Council 35 Health Fund - Core", "USTR", "N", , , , , , , 
"USTR193", "Painters District Council 35 Pension Fund - Core", "USTR", "N", , , , , , , 
"USTR194", "Sun Life Global Investments", "USTR", "N", , , , , , , 
"USTR195", "St. Joseph’s Hospital Medical Center Pension", "USTR", "N", , , , , , , 
"USTR196", "Morgan US Employees' Retirement Plan", "USTR", "N", , , , , , , 
"USTR197", "Sun Life High Yield", "USTR", "N", , , , , , , 
"USTR198", "Noble Drilling Retirement Trust Salaried", "USTR", "N", , , , , , , 
"USTR199", "Noble Drilling Retirement Trust Hourly", "USTR", "N", , , , , , , 
"USTR200", "PAUSTIF High Yield", "USTR", "N", , , , , , , 
"USTR201", "PAWCSF High Yield", "USTR", "N", , , , , , , 
"USTR202", "Pilkington N.A. Hourly Pension Plan", "USTR", "N", , , , , , , 
"USTR203", "Pilkington N.A. Salaried Retirement Plan", "USTR", "N", , , , , , , 
"USTR204", "PA SWIF RL PPA Inv Benchmark", "USTR", "N", , , , , , , 
"USTR205", "Luzerne RL PPA Inv Benchmark", "USTR", "N", , , , , , , 
"USTR206", "Akron RL PPA Inv Benchmark", "USTR", "N", , , , , , , 
"USTR208", "Sun Life Aggregate DRP", "USTR", "N", , , , , , , 
"USTR209", "Sun Life Treasury DRP", "USTR", "N", , , , , , , 
"USTR212", "University of Vermont Medical Center", "USTR", "N", , , , , , , 
"USTR213", "Champlain Valley Physicians Hospital ", "USTR", "N", , , , , , , 
"USTR214", "Central Vermont Medical Center ", "USTR", "N", , , , , , , 
"USTR215", "PA WCSF (0 to 30 Yrs) by RL PPA Inv Benchmark", "USTR", "N", , , , , , , 
"USTR216", "Green Mountain Power VEBA   ", "USTR", "N", , , , , , , 
"USTR217", "Wayne Memorial Hospital Inc. ", "USTR", "N", , , , , , , 
"USTR218", "RL High Yield Fund", "USTR", "N", , , , , , , 
"USTR219", "Nugget Markets, Inc.", "USTR", "N", , , , , , , 
"USTR220", "Nugget Markets 0-30+ Pension Plan (PPA)", "USTR", "N", , , , , , , 
"USTR221", "SJHS Insurance Limited", "USTR", "N", , , , , , , 
"USTR222", "Fourth Edition Inc. Pension Plan", "USTR", "N", , , , , , , 
"USTR223", "Kuehne + Nagel Pension Plan", "USTR", "N", , , , , , , 
"USTR225", "HEUTF-EXFD", "USTR", "N", , , , , , , 
"USTR226", "St. Luke's Hospital of Duluth", "USTR", "N", , , , , , , 
"USTR228", "IUPAT District Council 21", "USTR", "N", , , , , , , 
"USTR229", "Oxbow Calcining Salary", "USTR", "N", , , , , , , 
"USTR230", "Clopay Ames True Temper", "USTR", "N", , , , , , , 
"USTR231", "Ironworkers Conventional Fund ", "USTR", "N", , , , , , , 
"USTR232", "Ironworkers Death Benefit Fund", "USTR", "N", , , , , , , 
"USTR233", "Ironworkers Outside Organization Fund", "USTR", "N", , , , , , , 
"USTR234", "Ironworkers General Fund", "USTR", "N", , , , , , , 
"USTR235", "National Life Agency Pension Plan RL PPA Investible Benchmark", "USTR", "N", , , , , , , 
"USTR236", "National Life Home Office RL PPA Investible Benchmark", "USTR", "N", , , , , , , 
"USTR237", "Painters District Council 35 Health Fund - Short Duration", "USTR", "N", , , , , , , 
"USTR238", "Painters District Council 35 Annuity Fund - Short Duration", "USTR", "N", , , , , , , 
"USTR239", "Painters District Council 35 Pension Fund - Short Duration", "USTR", "N", , , , , , , 
"USTR240", "Sun Life Mock Liabilities 0-30 Yr Inv Benchmark", "USTR", "N", , , , , , , 
"USTR241", "SLF Pension Less Private CFs RL PPA Inv Benchmark", "USTR", "N", , , , , , , 
"USTR242", "White Williams Pension Plan", "USTR", "N", , , , , , , 
"USTR246", "Christian Brothers Investment Services", "USTR", "N", , , , , , , 
"USTR247", "St. Columbans Foreign Mission Society", "USTR", "N", , , , , , , 
