ProductID, PeriodDate, AdhocFlag, LineofBusinessCode, SortOrder, EquityFlag, TaxType, BenchmarkFlag, PerformanceType, Description, MTD, QTD, YTD, PriorYear, PriorTwoYear, PriorThreeYear, PriorFourYear, PriorFiveYear, PriorSevenYear, PriorTenYear, CYPriorYear, CYPriorTwoYear, CYPriorThreeYear, CYPriorFourYear, CYPriorFiveYear, CYPriorSixYear, CYPriorSevenYear, CYPriorEightYear, CYPriorNineYear, CYPriorTenYear, CYPriorElevenYear, CYPriorTwelveYear, SinceInceptionReturn, InceptionDate, ValueAdded, Risk, TrackingError, InfoRatio, PriorThreeMonth, PriorSixMonth, PriorNineMonth, CurrentQuarter, 
"USTR10001", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR10001", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR10002", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR10002", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR10004", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR10004", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR10006", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR10006", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR100960", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR100960", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR1025", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR1025", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR1055", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
