ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,Category,SecurityGroup,SecurityType,BookValue,MarketValue,GainOrLoss,PreTaxBookYield,PreTaxMarketYield,AfterTaxBookYield,AfterTaxMarketYield,TaxEquivalentBookYield,TaxEquivalentMarketYield,Coupon,EffectiveDuration,SecuritiesAtGainNumber,SecuritiesAtGainAmount,SecuritiesAtLossNumber,SecuritiesAtLossAmount,Weight,BenchmarkWeight,BenchmarkCoupon,YTW,BenchmarkYTW,ModifiedDuration,BenchmarkModifiedDuration,Convexity,BenchmarkConvexity,DailyReturn,BenchmarkDailyReturn,MTD,BenchmarkMTD,QTD,BenchmarkQTD,YTD,BenchmarkYTD,CummReturn,BenchmarkCummReturn,BenchmarkBookYield,BenchmarkMarketYield,BenchmarkEffectiveDuration,Liability,MarketYield,BookYield
"USTR10001","2020-12-31","N","USTR",1,,,"Cash",,303535.95,,,,,,,,1.5,,,,,,0.84,0,0,1.5,0,0,0,0,0,,,0.13,0,0.38,0,1.51,0,1.51,0,,1.5,,,1.5,
"USTR10001","2020-12-31","N","USTR",2,,,"Cash",,303535.95,,,,,,,,1.5,,,,,,0.84,0,0,1.5,0,0,0,0,0,,,0.13,0,0.38,0,1.51,0,1.51,0,,1.5,,,1.5,
"USTR10001","2020-12-31","N","USTR",3,,,"Treasury",,6567886.67,,,,,,,,0.412,,,,,,18.13,12.22,0,1.56,1.67,21.81,24.98,5.29,6.45,,,-1.21,-1.34,-3.29,-3.54,18.77,23.68,18.77,23.68,,1.5,,,1.5,
"USTR10001","2020-12-31","N","USTR",4,,,"Treasury",,6567886.67,,,,,,,,0.412,,,,,,18.13,12.22,0,1.56,1.67,21.81,24.98,5.29,6.45,,,-1.21,-1.34,-3.29,-3.54,18.77,23.68,18.77,23.68,,1.5,,,1.5,
"USTR10001","2020-12-31","N","USTR",5,,,"Agency",,827853.11,,,,,,,,3.175,,,,,,2.29,0,0,1.71,0,7.47,0,1.17,0,,,0.16,0,2.17,0,8.99,0,8.99,0,,2.81,,,2.81,
"USTR10001","2020-12-31","N","USTR",6,,,"Agency",,827853.11,,,,,,,,3.175,,,,,,2.29,0,0,1.71,0,7.47,0,1.17,0,,,0.16,0,2.17,0,8.99,0,8.99,0,,2.81,,,2.81,
"USTR10001","2020-12-31","N","USTR",7,,,"Local Authority",,142060.5,,,,,,,,7.3,,,,,,0.39,0.02,3.056,2.8,1.01,12.08,4.08,1.93,0.2,,,-0.38,0,1.79,0,13.24,0,13.24,0,,4.42,,,4.42,
"USTR10001","2020-12-31","N","USTR",8,,,"Local Authority",,142060.5,,,,,,,,7.3,,,,,,0.39,0.02,3.056,2.8,1.01,12.08,4.08,1.93,0.2,,,-0.38,0,1.79,0,13.24,0,13.24,0,,4.42,,,4.42,
"USTR10001","2020-12-31","N","USTR",9,,,"Sovereign",,0,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,0,
"USTR10001","2020-12-31","N","USTR",10,,,"Supranational",,0,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,0,
"USTR10001","2020-12-31","N","USTR",11,,,"Industrial",,11297549.11,,,,,,,,3.588,,,,,,31.18,60.97,3.481,1.65,1.49,9.75,9.3,1.68,1.53,,,0.05,0.04,2.17,1.74,10.97,10.4,10.97,10.4,,2.99,,,2.99,
"USTR10001","2020-12-31","N","USTR",12,,,"Industrial",,11297549.11,,,,,,,,3.588,,,,,,31.18,60.97,3.481,1.65,1.49,9.75,9.3,1.68,1.53,,,0.05,0.04,2.17,1.74,10.97,10.4,10.97,10.4,,2.99,,,2.99,
"USTR10001","2020-12-31","N","USTR",13,,,"Utility",,5512255.96,,,,,,,,3.926,,,,,,15.22,12.42,4.284,2.08,2.08,11.85,11.16,2.26,1.94,,,-0.09,0.04,2.4,2.26,12.49,12.04,12.49,12.04,,3.28,,,3.28,
"USTR10001","2020-12-31","N","USTR",14,,,"Utility",,5512255.96,,,,,,,,3.926,,,,,,15.22,12.42,4.284,2.08,2.08,11.85,11.16,2.26,1.94,,,-0.09,0.04,2.4,2.26,12.49,12.04,12.49,12.04,,3.28,,,3.28,
"USTR10001","2020-12-31","N","USTR",15,,,"Finance",,9831627.65,,,,,,,,3.498,,,,,,27.14,14.37,3.979,1.36,1.47,6.38,7.84,0.78,1.11,,,0.4,0.19,2.07,2.12,9.45,9.41,9.45,9.41,,3.07,,,3.07,
"USTR10001","2020-12-31","N","USTR",16,,,"Finance",,9831627.65,,,,,,,,3.498,,,,,,27.14,14.37,3.979,1.36,1.47,6.38,7.84,0.78,1.11,,,0.4,0.19,2.07,2.12,9.45,9.41,9.45,9.41,,3.07,,,3.07,
"USTR10001","2020-12-31","N","USTR",17,,,"MBS Pass Thru",,393741.31,,,,,,,,4.127,,,,,,1.09,0,0,2.72,0,6.19,0,0.49,0,,,1,0,1.25,0,4.82,0,4.82,0,,3.81,,,3.81,
"USTR10001","2020-12-31","N","USTR",18,,,"MBS Pass Thru",,393741.31,,,,,,,,4.127,,,,,,1.09,0,0,2.72,0,6.19,0,0.49,0,,,1,0,1.25,0,4.82,0,4.82,0,,3.81,,,3.81,
"USTR10001","2020-12-31","N","USTR",19,,,"Asset Backed",,127282.62,,,,,,,,2,,,,,,0.35,0,0,0.74,0,4.67,0,0.23,0,,,0.7,0,1.9,0,6.19,0,6.19,0,,1.89,,,1.89,
"USTR10001","2020-12-31","N","USTR",20,,,"Asset Backed",,127282.62,,,,,,,,2,,,,,,0.35,0,0,0.74,0,4.67,0,0.23,0,,,0.7,0,1.9,0,6.19,0,6.19,0,,1.89,,,1.89,
"USTR10001","2020-12-31","N","USTR",21,,,"CMBS",,1225133.47,,,,,,,,3.769,,,,,,3.38,0,0,3.36,0,5.82,0,0.43,0,,,3,0,3.82,0,9.68,0,9.68,0,,3.69,,,3.69,
"USTR10001","2020-12-31","N","USTR",22,,,"CMBS",,1225133.47,,,,,,,,3.769,,,,,,3.38,0,0,3.36,0,5.82,0,0.43,0,,,3,0,3.82,0,9.68,0,9.68,0,,3.69,,,3.69,
"USTR10001","2020-12-31","N","USTR",23,,,"Covered",,0,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,0,
"USTR10001","2020-12-31","N","USTR",24,,,"CMO",,0,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,6.63,0,6.63,0,,0,,,0,
"USTR10001","2020-12-31","N","USTR",25,,,"Other",,0,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,,,0,
"USTR10001","2020-12-31","N","USTR",26,,,"TOTAL",,36228926.35,,,,,,,,3.033,,,,,,100,100,3.227,1.69,1.58,11.03,11.24,2.09,2.12,,,0,-0.11,1.2,1.23,13.51,12.89,13.51,12.89,,2.81,,,2.81,
