ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,Category,Description,Value,BenchmarkValue
"USTR10001","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10001","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR10001","2020-12-31","N","USTR",3,"USTR Account Profile","Yield to Worst (%)",1.691,1.582
"USTR10001","2020-12-31","N","USTR",4,"USTR Account Profile","Number of Issues",191,3930
"USTR10001","2020-12-31","N","USTR",5,"USTR Account Profile","Benchmark Name","ONeal Steel PBO RL PPA Investable Benchmark",""
"USTR10001","2020-12-31","N","USTR",6,"USTR Account Profile","Quality","US Dollar","US Dollar"
"USTR10001","2020-12-31","N","USTR",7,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark"
"USTR10001","2020-12-31","N","USTR",8,"USTR Account Profile","Modified Duration",11.028,11.236
"USTR10001","2020-12-31","N","USTR",9,"USTR Account Profile","Market Value",3.622,9.644
"USTR10001","2020-12-31","N","USTR",10,"USTR Account Profile","Market Yield",2.806,2.825
"USTR10001","2020-12-31","N","USTR",11,"USTR Account Profile","Convexity",2.093,2.122
"USTR10001","2020-12-31","N","USTR",1,"USTR Attribution Summary","Annualized standard Deviation (Volatility) (%)",7.921,7.777
"USTR10001","2020-12-31","N","USTR",2,"USTR Attribution Summary","Minimum Periodic Return (%)",-2.285,-2.407
"USTR10001","2020-12-31","N","USTR",3,"USTR Attribution Summary","Maximum Periodic Return (%)",3.933,4.026
"USTR10001","2020-12-31","N","USTR",4,"USTR Attribution Summary","Beta (Sensitivity to Benchmark)",0.931,""
"USTR10001","2020-12-31","N","USTR",5,"USTR Attribution Summary","R-Squared (%)",83.543,""
"USTR10001","2020-12-31","N","USTR",6,"USTR Attribution Summary","Correlation (%)",91.402,""
"USTR10001","2020-12-31","N","USTR",7,"USTR Attribution Summary","Annualized Tracking Error (bp)",61.398,""
"USTR10001","2020-12-31","N","USTR",8,"USTR Attribution Summary","Shortfall Frequency (%)",50,""
"USTR10001","2020-12-31","N","USTR",9,"USTR Attribution Summary","Average Shortfall (bp)",10.675,""
"USTR10001","2020-12-31","N","USTR",10,"USTR Attribution Summary","Downside Capture Ratio (%)",97.002,100
"USTR10001","2020-12-31","N","USTR",11,"USTR Attribution Summary","Annualized Total Return (%)",13.506,12.885
"USTR10001","2020-12-31","N","USTR",12,"USTR Attribution Summary","Average Periodic Return (bp)",108.505,103.804
"USTR10001","2020-12-31","N","USTR",13,"USTR Attribution Summary","Cumulative Total Return (%)",13.506,12.885
"USTR10001","2020-12-31","N","USTR",14,"USTR Attribution Summary","Excess Return Frequency (%)",50,""
"USTR10001","2020-12-31","N","USTR",15,"USTR Attribution Summary","Average Excess Return (bp)",20.077,""
"USTR10001","2020-12-31","N","USTR",16,"USTR Attribution Summary","Upside Capture Ratio (%)",102.333,100
"USTR10001","2020-12-31","N","USTR",17,"USTR Attribution Summary","Sharpe Ratio",1.608,1.558
"USTR10001","2020-12-31","N","USTR",18,"USTR Attribution Summary","Information Ratio",1.011,1.011
"USTR10002","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10002","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR10002","2020-12-31","N","USTR",3,"USTR Account Profile","Yield to Worst (%)",1.67,1.517
"USTR10002","2020-12-31","N","USTR",4,"USTR Account Profile","Number of Issues",193,3930
"USTR10002","2020-12-31","N","USTR",5,"USTR Account Profile","Benchmark Name","US Silica Retirement Plan RL PPA Investable Benchmark",""
"USTR10002","2020-12-31","N","USTR",6,"USTR Account Profile","Quality","US Dollar","US Dollar"
"USTR10002","2020-12-31","N","USTR",7,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark"
"USTR10002","2020-12-31","N","USTR",8,"USTR Account Profile","Modified Duration",11.017,11.079
"USTR10002","2020-12-31","N","USTR",9,"USTR Account Profile","Market Value",4.986,1.601
"USTR10002","2020-12-31","N","USTR",10,"USTR Account Profile","Market Yield",2.862,2.8
"USTR10002","2020-12-31","N","USTR",11,"USTR Account Profile","Convexity",2.122,2.138
"USTR10002","2020-12-31","N","USTR",1,"USTR Attribution Summary","Annualized standard Deviation (Volatility) (%)",7.704,7.628
"USTR10002","2020-12-31","N","USTR",2,"USTR Attribution Summary","Minimum Periodic Return (%)",-2.597,-2.397
"USTR10002","2020-12-31","N","USTR",3,"USTR Attribution Summary","Maximum Periodic Return (%)",3.716,3.981
"USTR10002","2020-12-31","N","USTR",4,"USTR Attribution Summary","Beta (Sensitivity to Benchmark)",0.922,""
"USTR10002","2020-12-31","N","USTR",5,"USTR Attribution Summary","R-Squared (%)",83.336,""
"USTR10002","2020-12-31","N","USTR",6,"USTR Attribution Summary","Correlation (%)",91.289,""
"USTR10002","2020-12-31","N","USTR",7,"USTR Attribution Summary","Annualized Tracking Error (bp)",70.029,""
"USTR10002","2020-12-31","N","USTR",8,"USTR Attribution Summary","Shortfall Frequency (%)",33.333,""
"USTR10002","2020-12-31","N","USTR",9,"USTR Attribution Summary","Average Shortfall (bp)",24.33,""
"USTR10002","2020-12-31","N","USTR",10,"USTR Attribution Summary","Downside Capture Ratio (%)",101.269,100
"USTR10002","2020-12-31","N","USTR",11,"USTR Attribution Summary","Annualized Total Return (%)",11.765,11.848
"USTR10002","2020-12-31","N","USTR",12,"USTR Attribution Summary","Average Periodic Return (bp)",95.378,95.951
"USTR10002","2020-12-31","N","USTR",13,"USTR Attribution Summary","Cumulative Total Return (%)",11.765,11.848
"USTR10002","2020-12-31","N","USTR",14,"USTR Attribution Summary","Excess Return Frequency (%)",66.667,""
"USTR10002","2020-12-31","N","USTR",15,"USTR Attribution Summary","Average Excess Return (bp)",11.306,""
"USTR10002","2020-12-31","N","USTR",16,"USTR Attribution Summary","Upside Capture Ratio (%)",100.011,100
"USTR10002","2020-12-31","N","USTR",17,"USTR Attribution Summary","Sharpe Ratio",1.428,1.453
"USTR10002","2020-12-31","N","USTR",18,"USTR Attribution Summary","Information Ratio",-0.118,-0.118
"USTR10003","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10003","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR10003","2020-12-31","N","USTR",3,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark"
"USTR10004","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10004","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR10004","2020-12-31","N","USTR",3,"USTR Account Profile","Yield to Worst (%)",1.847,1.714
"USTR10004","2020-12-31","N","USTR",4,"USTR Account Profile","Number of Issues",161,3930
"USTR10004","2020-12-31","N","USTR",5,"USTR Account Profile","Benchmark Name","Knoll Pension Plan ABO 0-30 Yr RLPPA Inv Benchmark ",""
"USTR10004","2020-12-31","N","USTR",6,"USTR Account Profile","Quality","US Dollar","US Dollar"
"USTR10004","2020-12-31","N","USTR",7,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark"
"USTR10004","2020-12-31","N","USTR",8,"USTR Account Profile","Modified Duration",12.446,12.62
"USTR10004","2020-12-31","N","USTR",9,"USTR Account Profile","Market Value",8.003,2.168
"USTR10004","2020-12-31","N","USTR",10,"USTR Account Profile","Market Yield",2.874,2.817
"USTR10004","2020-12-31","N","USTR",11,"USTR Account Profile","Convexity",2.515,2.496
"USTR10004","2020-12-31","N","USTR",1,"USTR Attribution Summary","Annualized standard Deviation (Volatility) (%)",8.751,8.616
"USTR10004","2020-12-31","N","USTR",2,"USTR Attribution Summary","Minimum Periodic Return (%)",-2.643,-2.915
"USTR10004","2020-12-31","N","USTR",3,"USTR Attribution Summary","Maximum Periodic Return (%)",4.312,4.189
"USTR10004","2020-12-31","N","USTR",4,"USTR Attribution Summary","Beta (Sensitivity to Benchmark)",0.927,""
"USTR10004","2020-12-31","N","USTR",5,"USTR Attribution Summary","R-Squared (%)",83.326,""
"USTR10004","2020-12-31","N","USTR",6,"USTR Attribution Summary","Correlation (%)",91.283,""
"USTR10004","2020-12-31","N","USTR",7,"USTR Attribution Summary","Annualized Tracking Error (bp)",80.569,""
"USTR10004","2020-12-31","N","USTR",8,"USTR Attribution Summary","Shortfall Frequency (%)",33.333,""
"USTR10004","2020-12-31","N","USTR",9,"USTR Attribution Summary","Average Shortfall (bp)",19.357,""
"USTR10004","2020-12-31","N","USTR",10,"USTR Attribution Summary","Downside Capture Ratio (%)",98.84,100
"USTR10004","2020-12-31","N","USTR",11,"USTR Attribution Summary","Annualized Total Return (%)",14.511,13.823
"USTR10004","2020-12-31","N","USTR",12,"USTR Attribution Summary","Average Periodic Return (bp)",116.458,111.287
"USTR10004","2020-12-31","N","USTR",13,"USTR Attribution Summary","Cumulative Total Return (%)",14.511,13.823
"USTR10004","2020-12-31","N","USTR",14,"USTR Attribution Summary","Excess Return Frequency (%)",66.667,""
"USTR10004","2020-12-31","N","USTR",15,"USTR Attribution Summary","Average Excess Return (bp)",17.434,""
"USTR10004","2020-12-31","N","USTR",16,"USTR Attribution Summary","Upside Capture Ratio (%)",103.034,100
"USTR10004","2020-12-31","N","USTR",17,"USTR Attribution Summary","Sharpe Ratio",1.571,1.515
"USTR10004","2020-12-31","N","USTR",18,"USTR Attribution Summary","Information Ratio",0.855,0.855
"USTR10005","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10005","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR10005","2020-12-31","N","USTR",3,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark"
"USTR10006","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR10006","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR10006","2020-12-31","N","USTR",3,"USTR Account Profile","Yield to Worst (%)",1.509,1.436
"USTR10006","2020-12-31","N","USTR",4,"USTR Account Profile","Number of Issues",136,3930
"USTR10006","2020-12-31","N","USTR",5,"USTR Account Profile","Benchmark Name","St. Peter's University RL PPA Inv Benchmark",""
"USTR10006","2020-12-31","N","USTR",6,"USTR Account Profile","Quality","US Dollar","US Dollar"
"USTR10006","2020-12-31","N","USTR",7,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark"
"USTR10006","2020-12-31","N","USTR",8,"USTR Account Profile","Modified Duration",9,9.269
"USTR10006","2020-12-31","N","USTR",9,"USTR Account Profile","Market Value",1.539,4.757
"USTR10006","2020-12-31","N","USTR",10,"USTR Account Profile","Market Yield",2.97,2.872
"USTR10006","2020-12-31","N","USTR",11,"USTR Account Profile","Convexity",1.571,1.551
"USTR10006","2020-12-31","N","USTR",1,"USTR Attribution Summary","Annualized standard Deviation (Volatility) (%)",7.212,6.983
"USTR10006","2020-12-31","N","USTR",2,"USTR Attribution Summary","Minimum Periodic Return (%)",-2.437,-2.411
"USTR10006","2020-12-31","N","USTR",3,"USTR Attribution Summary","Maximum Periodic Return (%)",4.125,3.96
"USTR10006","2020-12-31","N","USTR",4,"USTR Attribution Summary","Beta (Sensitivity to Benchmark)",0.946,""
"USTR10006","2020-12-31","N","USTR",5,"USTR Attribution Summary","R-Squared (%)",83.922,""
"USTR10006","2020-12-31","N","USTR",6,"USTR Attribution Summary","Correlation (%)",91.609,""
"USTR10006","2020-12-31","N","USTR",7,"USTR Attribution Summary","Annualized Tracking Error (bp)",34.042,""
"USTR10006","2020-12-31","N","USTR",8,"USTR Attribution Summary","Shortfall Frequency (%)",33.333,""
"USTR10006","2020-12-31","N","USTR",9,"USTR Attribution Summary","Average Shortfall (bp)",6.833,""
"USTR10006","2020-12-31","N","USTR",10,"USTR Attribution Summary","Downside Capture Ratio (%)",100.544,100
"USTR10006","2020-12-31","N","USTR",11,"USTR Attribution Summary","Annualized Total Return (%)",11.987,11.458
"USTR10006","2020-12-31","N","USTR",12,"USTR Attribution Summary","Average Periodic Return (bp)",96.764,92.657
"USTR10006","2020-12-31","N","USTR",13,"USTR Attribution Summary","Cumulative Total Return (%)",11.987,11.458
"USTR10006","2020-12-31","N","USTR",14,"USTR Attribution Summary","Excess Return Frequency (%)",66.667,""
"USTR10006","2020-12-31","N","USTR",15,"USTR Attribution Summary","Average Excess Return (bp)",9.577,""
"USTR10006","2020-12-31","N","USTR",16,"USTR Attribution Summary","Upside Capture Ratio (%)",103.422,100
"USTR10006","2020-12-31","N","USTR",17,"USTR Attribution Summary","Sharpe Ratio",1.556,1.531
"USTR10006","2020-12-31","N","USTR",18,"USTR Attribution Summary","Information Ratio",1.555,1.555
"USTR100960","2020-12-31","N","USTR",1,"USTR Account Profile","Base Currency","US Dollar","US Dollar"
"USTR100960","2020-12-31","N","USTR",2,"USTR Account Profile","Effective Duration","+/- 5% of the benchmark duration","+/- 5% of the benchmark duration"
"USTR100960","2020-12-31","N","USTR",3,"USTR Account Profile","Yield to Worst (%)",4.958,""
"USTR100960","2020-12-31","N","USTR",4,"USTR Account Profile","Number of Issues",155,""
"USTR100960","2020-12-31","N","USTR",5,"USTR Account Profile","Benchmark Name","Barclays High Yield Index",""
"USTR100960","2020-12-31","N","USTR",6,"USTR Account Profile","Quality","US Dollar",""
"USTR100960","2020-12-31","N","USTR",7,"USTR Account Profile","Diversifitacion","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark","+/- 20% of by Sector Relative to the Benchmark|+/- 20% of by Quality Relative to the Benchmark"
"USTR100960","2020-12-31","N","USTR",8,"USTR Account Profile","Modified Duration",4.554,""
"USTR100960","2020-12-31","N","USTR",9,"USTR Account Profile","Market Value",5.642,""
"USTR100960","2020-12-31","N","USTR",10,"USTR Account Profile","Market Yield",5.649,""
"USTR100960","2020-12-31","N","USTR",11,"USTR Account Profile","Convexity",0.307,""
"USTR100960","2020-12-31","N","USTR",1,"USTR Attribution Summary","Annualized standard Deviation (Volatility) (%)",18.482,""
"USTR100960","2020-12-31","N","USTR",2,"USTR Attribution Summary","Minimum Periodic Return (%)",-15.157,""
